rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group,groupVsnaive
7,102,-5.77674236321108,0,0,1.05469149866901,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,102,-5.84054620581579,0,0,1.28457920310769,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,102,-5.90160105870852,0,0,1.38047107838711,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,102,-5.79173862156847,0,0,1.58224666765803,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,103,-5.87106958316055,0,0,2.02681442206062,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,103,-5.83846724379738,0,0,2.08624447523797,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,103,-5.9246649268824,0,0,2.24949458673646,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,103,-5.88373321097532,0,0,1.77753015326128,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,103,-5.82143480450431,0,0,1.77843884538399,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,103,-5.9615668593448,0,0,1.60918684895399,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
7,103,-5.88558328703535,0,0,2.18646638033857,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,103,-5.97422813672128,0,0,1.99989496380884,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,103,-5.85087885015943,0,0,2.58651102153792,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,103,-5.90136607048215,0,0,1.81863537530649,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,104,-5.9992144854703,0,0,1.43065039035633,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,104,-5.90909860055814,0,0,1.35820011949543,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,104,-5.83684210778787,0,0,1.36736625523077,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,104,-5.95196787328552,0,0,1.31393373755609,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,104,-5.92691795829776,0,0,1.61577528901575,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,104,-6.02259025064539,0,0,1.3243886988088,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
7,104,-5.90613359207924,0,0,1.13207971060221,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,104,-5.96902826997368,0,0,1.37575256890652,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,104,-5.85748815230076,0,0,1.41697101899995,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,104,-5.72200052459796,0,0,1.43128815043466,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,105,-5.92550992270342,0,0,1.94051947943921,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,105,-5.91845016535668,0,0,1.43999284346647,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,105,-5.8964702297106,0,0,1.81464789266646,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,105,-6.02248316497326,0,0,1.3937087839507,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,105,-5.8754917059908,0,0,1.96578156671428,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,105,-5.93728827516976,0,0,1.72409866135787,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
7,105,-5.84141497937844,0,0,1.95784030206579,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,105,-5.85397014588392,0,0,2.02011074151592,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,105,-5.90417393851065,0,0,1.93905383760732,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,105,-5.91257200434747,0,0,1.65079281618365,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,106,-6.06768527313856,0,0,1.26506398909853,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
2,106,-5.92845506815527,0,0,1.53886817966594,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
3,106,-5.93367468826612,0,0,1.43755488234512,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
4,106,-5.90119229049118,0,0,1.32657804172572,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
5,106,-5.86310585514166,0,0,1.40810301284085,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
6,106,-5.87073653656544,0,0,1.51470063105688,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
7,106,-5.82856830436142,0,0,1.48903607440564,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
8,106,-5.86314204716859,0,0,1.23360461320815,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
9,106,-5.86576313602787,0,0,1.59402360741782,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
10,106,-5.80701786832848,0,0,1.38506418475089,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Naive,G_Naive
1,201,-7.27791429676644,0,0,1.45276057587742,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,201,-7.39495601542549,0,0,1.40706500290933,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,201,-7.3602660714827,0,0,1.41830132804056,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,201,-7.28461873317506,0,0,1.73205903420708,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,201,-7.29194688557198,0,0,1.53513013024657,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,201,-7.32124254397868,0,0,1.21928257491661,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,201,-7.17114304021589,0,0,1.39874859823639,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,201,-7.25404660319185,0,0,1.16078133164447,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,201,-7.20213741823093,0,0,1.36795416548975,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,201,-7.28916411328857,0,0,1.1495930995023,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,202,-7.39144237384795,0,0,1.70567514916251,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,202,-7.40733922244792,0,0,1.3666073913851,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,202,-7.32516333415269,0,0,1.99931934105795,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,202,-7.37630785111829,0,0,1.47722261325405,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,202,-7.40192853747001,0,0,1.79169333463857,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,202,-7.39802080000388,0,0,2.02218541184969,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,202,-7.34983370776204,0,0,1.4978548647686,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,202,-7.31609250995009,0,0,1.73122667242061,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,202,-7.32431561822511,0,0,1.89180526323559,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,202,-7.37205528468505,0,0,1.75402329237759,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,203,-7.47710677684414,0,0,1.49935011013227,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,203,-7.30343038576826,0,0,1.52590264700284,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,203,-7.1862505440103,0,0,1.76798432924418,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,203,-7.32294266237953,0,0,1.72086017002274,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,203,-7.37753731481938,0,0,1.69570886592254,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,203,-7.41507950676706,0,0,1.64395649334279,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,203,-7.38589644475594,0,0,1.27881685276377,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,203,-7.28891425430377,0,0,2.58479589023961,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,203,-7.31011511317231,0,0,1.45231567519305,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,203,-7.24085115013238,0,0,1.49044835679238,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,204,-7.36335286152723,0,0,1.55402115453337,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,204,-7.37906754344813,0,0,1.27776724705727,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,204,-7.31578611669459,0,0,1.58099343061021,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,204,-7.40888118016421,0,0,1.49970821625237,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,204,-7.54930564917031,0,0,1.07298459063468,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,204,-7.34493892053465,0,0,1.76502579324369,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,204,-7.27542052391847,0,0,1.35946999762025,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,204,-7.4260207029032,0,0,1.51750957920806,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,204,-7.32372560359762,0,0,1.61921889028488,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,204,-7.23608246070908,0,0,1.68237989977825,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,205,-7.36202958623919,0,0,1.36042013238947,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,205,-7.43988347200659,0,0,1.71489160059341,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,205,-7.17502294295168,0,0,2.05740991024019,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,205,-7.2655103363944,0,0,1.59787207890183,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,205,-7.2950906071875,0,0,1.3525176939297,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,205,-7.27888059344866,0,0,1.7682549862332,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,205,-7.2637535941761,0,0,1.63257743670966,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,205,-7.28242727311356,0,0,1.78201318486109,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,205,-7.40186226367189,0,0,1.54250081607426,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,205,-7.49593333571846,0,0,1.3469286207389,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,206,-7.37655047143428,0,0,1.84106824355631,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
2,206,-7.29718849094867,0,0,1.95443487874822,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
3,206,-7.41859551814111,0,0,1.44260257265954,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
4,206,-7.42596518114759,0,0,1.76668407372158,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
5,206,-7.380601709035,0,0,1.94609420386176,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
6,206,-7.36737782535724,0,0,2.24005942501652,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
7,206,-7.35368595517308,0,0,2.02264940681336,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
8,206,-7.23488759768432,0,0,3.35171051865738,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
9,206,-7.33539899129029,0,0,2.2188242222278,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
10,206,-7.41672165483678,0,0,1.26341261031088,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Convalescent,G_conv
1,301,-8.17003869495821,0,0,1.64596815764583,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
2,301,-8.10243194651013,0,0,1.57303900036736,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
3,301,-8.16111439656446,0,0,1.58037772229531,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
4,301,-8.18309838381187,0,0,1.79906845318246,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
5,301,-8.21795641348935,0,0,1.82284369762378,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
6,301,-8.17416169485934,0,0,1.36671153901073,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
7,301,-8.12774271426112,0,0,0.959392550304292,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
8,301,-8.20991798033359,0,0,1.95916445063255,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
9,301,-8.1352407261798,0,0,2.32991123047969,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
10,301,-8.19809399339761,0,0,1.60456384844095,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
1,302,-8.26226220976696,0,0,1.57409689710649,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
2,302,-8.26697484351884,0,0,1.7941852175794,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
3,302,-8.16012527369904,0,0,1.65531649106965,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
4,302,-8.21385326869044,0,0,1.71035699523923,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
5,302,-8.16191126815595,0,0,1.8496528257802,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
6,302,-8.28520966024712,0,0,1.40628892079582,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
7,302,-8.26066526204202,0,0,2.3430152585046,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
8,302,-8.16833279476247,0,0,1.99083595797521,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
9,302,-8.19851283294531,0,0,1.47990132353804,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
10,302,-8.10085900452023,0,0,2.33848573389878,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
1,303,-8.27616421302024,0,0,1.87307358302629,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
2,303,-8.10502118032893,0,0,1.5054299430834,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
3,303,-8.17154872323742,0,0,1.3681902364051,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
4,303,-8.15568727456983,0,0,1.36965849031375,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
5,303,-8.21143214452852,0,0,2.23728207431002,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
6,303,-8.16427626379151,0,0,1.80191150347866,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
7,303,-8.20142933562027,0,0,1.66238695055012,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
8,303,-8.2670624855683,0,0,1.61668162975719,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
9,303,-8.06508087988161,0,0,2.02199012552592,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
10,303,-8.27808874090893,0,0,1.62518453825559,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
1,304,-8.04419315552775,0,0,1.33880820598192,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
2,304,-8.28897003868347,0,0,1.08308025025049,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
3,304,-8.12072331072593,0,0,1.56709894819361,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
4,304,-8.16791740573306,0,0,1.17778265519792,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
5,304,-8.1229721762394,0,0,1.1786540004415,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
6,304,-8.14911451313635,0,0,1.49532089205978,3,20,3,0,0.001,9852.75449597818,-2.49065724460841,1.39920136867465,4.5,2.58685362902494e-6,Conv-CD40,G_convCD40
