id,eta_betas_N_SAEM,eta_fact_beta_T_SAEM,eta_fact_delta_T_SAEM,eta_delta_N_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_k_SAEM,eta_mu_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_alpha_VLSG_SAEM,eta_thresh_Weight_SAEM,eta_betas_N_mean,eta_fact_beta_T_mean,eta_fact_delta_T_mean,eta_delta_N_mean,eta_c_mean,eta_cI_mean,eta_k_mean,eta_mu_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_alpha_VLSG_mean,eta_thresh_Weight_mean,eta_betas_N_mode,eta_fact_beta_T_mode,eta_fact_delta_T_mode,eta_delta_N_mode,eta_c_mode,eta_cI_mode,eta_k_mode,eta_mu_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_alpha_VLSG_mode,eta_thresh_Weight_mode,eta_betas_N_sd,eta_fact_beta_T_sd,eta_fact_delta_T_sd,eta_delta_N_sd,eta_c_sd,eta_cI_sd,eta_k_sd,eta_mu_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_alpha_VLSG_sd,eta_thresh_Weight_sd,Group
NHP22,-0.037103,0,0,1.59406,0,0,0,0,0,0,0,0,-0.0474998,0,0,1.6706,0,0,0,0,0,0,0,0,-0.0453862,0,0,1.55678,0,0,0,0,0,0,0,0,0.196108,0,0,0.565223,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP23,0.0216749,0,0,-0.86222,0,0,0,0,0,0,0,0,0.0357045,0,0,-0.859755,0,0,0,0,0,0,0,0,0.0289904,0,0,-0.762038,0,0,0,0,0,0,0,0,0.15776,0,0,0.437552,0,0,0,0,0,0,0,0,mRNA - Conv
NHP24,-0.0811911,0,0,1.35664,0,0,0,0,0,0,0,0,-0.143622,0,0,1.36135,0,0,0,0,0,0,0,0,-0.0926553,0,0,1.38729,0,0,0,0,0,0,0,0,0.161471,0,0,0.0753299,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP25,-0.0206078,0,0,-0.631794,0,0,0,0,0,0,0,0,0.00324275,0,0,-0.595582,0,0,0,0,0,0,0,0,0.0344018,0,0,-0.662455,0,0,0,0,0,0,0,0,0.171796,0,0,0.186284,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP26,0.255948,0,0,-0.378512,0,0,0,0,0,0,0,0,0.262071,0,0,-0.461536,0,0,0,0,0,0,0,0,0.274162,0,0,-0.494963,0,0,0,0,0,0,0,0,0.137946,0,0,0.32552,0,0,0,0,0,0,0,0,Conv
NHP27,-0.00915362,0,0,0.254698,0,0,0,0,0,0,0,0,-0.00852777,0,0,0.268993,0,0,0,0,0,0,0,0,-0.0122408,0,0,0.187734,0,0,0,0,0,0,0,0,0.187741,0,0,0.513618,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP28,-0.116051,0,0,0.353276,0,0,0,0,0,0,0,0,-0.0946549,0,0,0.406637,0,0,0,0,0,0,0,0,-0.105585,0,0,0.517068,0,0,0,0,0,0,0,0,0.116309,0,0,0.275125,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP29,-0.00968123,0,0,-1.37509,0,0,0,0,0,0,0,0,0.00733626,0,0,-1.34113,0,0,0,0,0,0,0,0,0.00655769,0,0,-1.25459,0,0,0,0,0,0,0,0,0.191681,0,0,0.458146,0,0,0,0,0,0,0,0,mRNA - Conv
NHP3,-0.127608,0,0,-0.459083,0,0,0,0,0,0,0,0,-0.080286,0,0,-0.48748,0,0,0,0,0,0,0,0,-0.135208,0,0,-0.490355,0,0,0,0,0,0,0,0,0.170886,0,0,0.221239,0,0,0,0,0,0,0,0,Naive
NHP30,0.0689736,0,0,-0.527667,0,0,0,0,0,0,0,0,0.0689652,0,0,-0.533379,0,0,0,0,0,0,0,0,0.0666987,0,0,-0.545532,0,0,0,0,0,0,0,0,0.176828,0,0,0.348971,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
NHP31,-0.000984841,0,0,1.3899,0,0,0,0,0,0,0,0,-0.0439601,0,0,1.38313,0,0,0,0,0,0,0,0,-0.0352311,0,0,1.44585,0,0,0,0,0,0,0,0,0.172367,0,0,0.159567,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
NHP32,0.017134,0,0,-0.93578,0,0,0,0,0,0,0,0,0.00812526,0,0,-0.930582,0,0,0,0,0,0,0,0,0.0177369,0,0,-0.874716,0,0,0,0,0,0,0,0,0.169955,0,0,0.499632,0,0,0,0,0,0,0,0,mRNA - Conv
NHP33,0.0906462,0,0,0.178139,0,0,0,0,0,0,0,0,0.0827828,0,0,0.261092,0,0,0,0,0,0,0,0,0.018479,0,0,0.578087,0,0,0,0,0,0,0,0,0.159232,0,0,0.448446,0,0,0,0,0,0,0,0,Conv
NHP34,0.0814405,0,0,-1.49018,0,0,0,0,0,0,0,0,0.106188,0,0,-1.43014,0,0,0,0,0,0,0,0,0.103076,0,0,-1.41967,0,0,0,0,0,0,0,0,0.185255,0,0,0.196675,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP4,-0.0115541,0,0,0.880568,0,0,0,0,0,0,0,0,-7.81156e-05,0,0,0.790585,0,0,0,0,0,0,0,0,-0.0119997,0,0,0.708086,0,0,0,0,0,0,0,0,0.190831,0,0,0.516046,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
NHP5,-0.0329272,0,0,0.585348,0,0,0,0,0,0,0,0,-0.0407807,0,0,0.602031,0,0,0,0,0,0,0,0,-0.0615365,0,0,0.576896,0,0,0,0,0,0,0,0,0.158218,0,0,0.126765,0,0,0,0,0,0,0,0,Conv
NHP6,0.118044,0,0,-0.506953,0,0,0,0,0,0,0,0,0.12259,0,0,-0.493705,0,0,0,0,0,0,0,0,0.133049,0,0,-0.454647,0,0,0,0,0,0,0,0,0.122964,0,0,0.233464,0,0,0,0,0,0,0,0,Conv
NHP7,-0.0151529,0,0,-0.0821875,0,0,0,0,0,0,0,0,0.0130367,0,0,-0.01021,0,0,0,0,0,0,0,0,0.0019236,0,0,-0.13021,0,0,0,0,0,0,0,0,0.157669,0,0,0.685298,0,0,0,0,0,0,0,0,mRNA - Conv
NHP8,-0.0126393,0,0,0.355937,0,0,0,0,0,0,0,0,-0.0173033,0,0,0.427648,0,0,0,0,0,0,0,0,-0.0108216,0,0,0.38128,0,0,0,0,0,0,0,0,0.172897,0,0,0.801802,0,0,0,0,0,0,0,0,mRNA - Conv
NHP9,-0.0939747,0,0,-0.540279,0,0,0,0,0,0,0,0,-0.0330367,0,0,-0.634704,0,0,0,0,0,0,0,0,-0.0225477,0,0,-0.794814,0,0,0,0,0,0,0,0,0.158226,0,0,0.443648,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
