rep,id,eta_betas_N,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group
9,NHP12,-0.177932,0,0,0.683788,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP12,0.000383384,0,0,0.45494,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP13,0.107905,0,0,-0.634643,0,0,0,0,0,0,0,0,Naive
2,NHP13,0.122785,0,0,-0.737132,0,0,0,0,0,0,0,0,Naive
3,NHP13,0.0982492,0,0,-0.709752,0,0,0,0,0,0,0,0,Naive
4,NHP13,0.0168325,0,0,-0.698955,0,0,0,0,0,0,0,0,Naive
5,NHP13,-0.0868085,0,0,-0.797573,0,0,0,0,0,0,0,0,Naive
6,NHP13,0.0628023,0,0,-0.783003,0,0,0,0,0,0,0,0,Naive
7,NHP13,-0.0534045,0,0,-0.38406,0,0,0,0,0,0,0,0,Naive
8,NHP13,0.272421,0,0,-0.936018,0,0,0,0,0,0,0,0,Naive
9,NHP13,-0.0285344,0,0,-0.835157,0,0,0,0,0,0,0,0,Naive
10,NHP13,0.0132894,0,0,-0.788315,0,0,0,0,0,0,0,0,Naive
1,NHP14,0.0231792,0,0,0.239823,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
2,NHP14,0.337002,0,0,1.08142,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
3,NHP14,0.231218,0,0,1.99652,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
4,NHP14,-0.0105846,0,0,0.391793,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
5,NHP14,-0.0562603,0,0,0.172472,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
6,NHP14,0.0869991,0,0,1.8577,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
7,NHP14,0.262987,0,0,0.194826,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
8,NHP14,0.16189,0,0,1.70575,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
9,NHP14,-0.023261,0,0,0.683611,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
10,NHP14,-0.0633357,0,0,2.84179,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
1,NHP15,-0.11614,0,0,0.977391,0,0,0,0,0,0,0,0,Conv
2,NHP15,-0.126488,0,0,0.891162,0,0,0,0,0,0,0,0,Conv
3,NHP15,0.00470641,0,0,0.971523,0,0,0,0,0,0,0,0,Conv
4,NHP15,-0.0879003,0,0,0.935141,0,0,0,0,0,0,0,0,Conv
5,NHP15,0.0735366,0,0,0.943297,0,0,0,0,0,0,0,0,Conv
6,NHP15,-0.0685091,0,0,1.21304,0,0,0,0,0,0,0,0,Conv
7,NHP15,0.188743,0,0,0.960325,0,0,0,0,0,0,0,0,Conv
8,NHP15,0.134841,0,0,0.96742,0,0,0,0,0,0,0,0,Conv
9,NHP15,0.195662,0,0,1.19646,0,0,0,0,0,0,0,0,Conv
10,NHP15,0.0774803,0,0,0.820619,0,0,0,0,0,0,0,0,Conv
1,NHP16,0.0332037,0,0,-0.316275,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
2,NHP16,0.047788,0,0,-0.349272,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
3,NHP16,0.178671,0,0,0.44481,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
4,NHP16,-0.0396439,0,0,-0.409591,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
5,NHP16,0.180929,0,0,-0.0661638,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
6,NHP16,0.0726098,0,0,0.780004,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
7,NHP16,0.165841,0,0,-0.779526,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
8,NHP16,-0.00596193,0,0,-0.253107,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
9,NHP16,-0.139746,0,0,-0.830387,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
10,NHP16,0.299748,0,0,-0.7677,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
1,NHP17,-0.19507,0,0,-0.0191449,0,0,0,0,0,0,0,0,Naive
2,NHP17,-0.0586059,0,0,0.216042,0,0,0,0,0,0,0,0,Naive
3,NHP17,0.0234533,0,0,0.571614,0,0,0,0,0,0,0,0,Naive
4,NHP17,0.0524017,0,0,0.316605,0,0,0,0,0,0,0,0,Naive
5,NHP17,-0.0400232,0,0,0.235924,0,0,0,0,0,0,0,0,Naive
6,NHP17,-0.108715,0,0,0.191039,0,0,0,0,0,0,0,0,Naive
7,NHP17,0.108084,0,0,0.00151745,0,0,0,0,0,0,0,0,Naive
8,NHP17,-0.0632779,0,0,-0.268276,0,0,0,0,0,0,0,0,Naive
9,NHP17,0.11387,0,0,-0.171718,0,0,0,0,0,0,0,0,Naive
10,NHP17,0.104106,0,0,0.433086,0,0,0,0,0,0,0,0,Naive
1,NHP18,0.167895,0,0,-0.610772,0,0,0,0,0,0,0,0,Conv
2,NHP18,0.0774828,0,0,-0.892871,0,0,0,0,0,0,0,0,Conv
3,NHP18,-0.00249508,0,0,-1.0336,0,0,0,0,0,0,0,0,Conv
4,NHP18,0.0444487,0,0,-0.688634,0,0,0,0,0,0,0,0,Conv
5,NHP18,-0.0454553,0,0,-0.910838,0,0,0,0,0,0,0,0,Conv
6,NHP18,0.13847,0,0,-0.873139,0,0,0,0,0,0,0,0,Conv
7,NHP18,0.0462682,0,0,-0.837598,0,0,0,0,0,0,0,0,Conv
8,NHP18,0.273232,0,0,-0.794846,0,0,0,0,0,0,0,0,Conv
9,NHP18,0.225013,0,0,-0.604975,0,0,0,0,0,0,0,0,Conv
10,NHP18,0.172883,0,0,-0.363304,0,0,0,0,0,0,0,0,Conv
1,NHP19,0.12578,0,0,-0.827048,0,0,0,0,0,0,0,0,Naive
2,NHP19,-0.0752805,0,0,-0.788112,0,0,0,0,0,0,0,0,Naive
3,NHP19,0.283173,0,0,-0.806381,0,0,0,0,0,0,0,0,Naive
4,NHP19,-0.119165,0,0,-1.02864,0,0,0,0,0,0,0,0,Naive
5,NHP19,0.141305,0,0,-0.614343,0,0,0,0,0,0,0,0,Naive
6,NHP19,0.23365,0,0,-0.956024,0,0,0,0,0,0,0,0,Naive
7,NHP19,0.0546998,0,0,-0.673216,0,0,0,0,0,0,0,0,Naive
8,NHP19,-0.250472,0,0,-0.707593,0,0,0,0,0,0,0,0,Naive
9,NHP19,0.365199,0,0,-0.83687,0,0,0,0,0,0,0,0,Naive
10,NHP19,0.0227239,0,0,-0.970187,0,0,0,0,0,0,0,0,Naive
1,NHP2,-0.0824277,0,0,-0.596058,0,0,0,0,0,0,0,0,Naive
2,NHP2,-0.142678,0,0,-0.524866,0,0,0,0,0,0,0,0,Naive
3,NHP2,0.0548073,0,0,-0.583245,0,0,0,0,0,0,0,0,Naive
4,NHP2,0.0332881,0,0,-0.632519,0,0,0,0,0,0,0,0,Naive
5,NHP2,0.194019,0,0,-0.873385,0,0,0,0,0,0,0,0,Naive
6,NHP2,-0.00375228,0,0,-0.574886,0,0,0,0,0,0,0,0,Naive
7,NHP2,-0.115462,0,0,-0.634152,0,0,0,0,0,0,0,0,Naive
8,NHP2,-0.257684,0,0,-0.371227,0,0,0,0,0,0,0,0,Naive
9,NHP2,-0.00714636,0,0,-0.594298,0,0,0,0,0,0,0,0,Naive
10,NHP2,0.0871185,0,0,-0.3372,0,0,0,0,0,0,0,0,Naive
1,NHP20,-0.0286237,0,0,-0.353119,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP20,0.171839,0,0,-0.73267,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP20,0.108428,0,0,-0.230625,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP20,0.10376,0,0,-0.474515,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP20,0.210821,0,0,-0.394129,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
6,NHP20,-0.19503,0,0,-0.463948,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP20,-0.0326417,0,0,-0.802453,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP20,0.101804,0,0,-0.24172,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP20,-0.00360683,0,0,-0.295097,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP20,0.0154406,0,0,-0.644848,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP21,-0.463054,0,0,0.580255,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP21,0.175633,0,0,1.08013,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP21,0.243145,0,0,1.46165,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP21,0.00807865,0,0,0.479484,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP21,-0.246514,0,0,0.910271,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
6,NHP21,0.499098,0,0,1.55807,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP21,0.143308,0,0,0.630343,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP21,0.297258,0,0,1.54659,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP21,0.115062,0,0,1.67031,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP21,-0.0521947,0,0,0.881119,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP22,-0.0312348,0,0,1.75102,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP22,-0.314248,0,0,1.97239,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP22,-0.49839,0,0,2.3176,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP22,0.18614,0,0,2.05183,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP22,0.275775,0,0,1.26638,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
6,NHP22,0.25965,0,0,2.05824,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP22,-0.0809213,0,0,2.24754,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP22,0.00637133,0,0,1.43916,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP22,0.369946,0,0,2.8992,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP22,0.472928,0,0,1.48258,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP23,-0.091782,0,0,-0.608052,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP23,0.0717931,0,0,-0.502371,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP23,0.243146,0,0,-1.24037,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP23,0.383732,0,0,-0.969956,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP23,-0.101347,0,0,-0.502197,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP23,-0.0485797,0,0,-0.140478,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP23,-0.122056,0,0,-1.11175,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP23,-0.133718,0,0,-0.902827,0,0,0,0,0,0,0,0,mRNA - Conv
9,NHP23,-0.0899198,0,0,-0.30609,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP23,-0.0681643,0,0,-0.446227,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP24,-0.335362,0,0,1.26245,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP24,0.154137,0,0,1.55246,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP24,-0.130596,0,0,1.44513,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP24,-0.159987,0,0,1.36865,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP24,-0.0985797,0,0,1.42733,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP24,-0.274646,0,0,1.26418,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP24,-0.0387406,0,0,1.4203,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP24,-0.156117,0,0,1.41799,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP24,-0.319057,0,0,1.31312,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP24,-0.18634,0,0,1.41285,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
1,NHP25,0.279176,0,0,-0.565599,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP25,0.0960794,0,0,-0.423579,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP25,0.00552668,0,0,-0.690152,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP25,-0.143171,0,0,-0.465016,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP25,0.0492199,0,0,-0.74686,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP25,-0.0959784,0,0,-0.625938,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP25,0.130545,0,0,-0.9093,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP25,-0.226632,0,0,-0.597447,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP25,0.204987,0,0,-0.84772,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP25,0.0330962,0,0,-0.664348,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
1,NHP26,0.354917,0,0,-0.467951,0,0,0,0,0,0,0,0,Conv
2,NHP26,0.166787,0,0,-0.803073,0,0,0,0,0,0,0,0,Conv
3,NHP26,0.315239,0,0,-0.499355,0,0,0,0,0,0,0,0,Conv
4,NHP26,0.265093,0,0,-0.792127,0,0,0,0,0,0,0,0,Conv
5,NHP26,0.390005,0,0,-0.735626,0,0,0,0,0,0,0,0,Conv
6,NHP26,0.304059,0,0,-0.612812,0,0,0,0,0,0,0,0,Conv
7,NHP26,-0.292789,0,0,0.469357,0,0,0,0,0,0,0,0,Conv
8,NHP26,0.442224,0,0,-0.599548,0,0,0,0,0,0,0,0,Conv
9,NHP26,0.257088,0,0,-0.565691,0,0,0,0,0,0,0,0,Conv
10,NHP26,0.211815,0,0,-0.530702,0,0,0,0,0,0,0,0,Conv
1,NHP27,0.076651,0,0,-0.00849535,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
2,NHP27,-0.0980629,0,0,0.809783,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
3,NHP27,0.0337244,0,0,-0.111409,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
4,NHP27,-0.0516405,0,0,-0.0247567,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
5,NHP27,-0.0371304,0,0,0.764177,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
6,NHP27,0.0527431,0,0,0.208317,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
7,NHP27,0.0226289,0,0,-0.238072,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
8,NHP27,0.0972583,0,0,0.688319,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
9,NHP27,0.322698,0,0,0.627743,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
10,NHP27,0.109836,0,0,0.0746513,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
1,NHP28,0.0345485,0,0,-0.164375,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP28,-0.00165172,0,0,0.554866,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP28,-0.147265,0,0,0.529677,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP28,-0.140564,0,0,0.465408,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP28,-0.195521,0,0,-0.0997332,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP28,-0.185612,0,0,0.509692,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP28,0.116393,0,0,-0.344927,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP28,0.107113,0,0,0.685981,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP28,-0.233449,0,0,0.352341,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP28,-0.105523,0,0,0.244945,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
1,NHP29,-0.2628,0,0,-1.67575,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP29,0.165056,0,0,-1.18221,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP29,-0.0771542,0,0,-1.50036,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP29,-0.112616,0,0,-1.36801,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP29,-0.229165,0,0,-1.02368,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP29,0.248582,0,0,-1.5207,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP29,-0.177663,0,0,-1.35862,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP29,0.300897,0,0,-1.29376,0,0,0,0,0,0,0,0,mRNA - Conv
9,NHP29,0.0590081,0,0,-1.28365,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP29,-0.237246,0,0,-1.90335,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP3,-0.129723,0,0,-0.761263,0,0,0,0,0,0,0,0,Naive
2,NHP3,-0.22193,0,0,-0.341614,0,0,0,0,0,0,0,0,Naive
3,NHP3,-0.0800127,0,0,-0.399486,0,0,0,0,0,0,0,0,Naive
4,NHP3,-0.0526805,0,0,-0.674151,0,0,0,0,0,0,0,0,Naive
5,NHP3,0.327926,0,0,-0.737343,0,0,0,0,0,0,0,0,Naive
6,NHP3,-0.135152,0,0,-0.475829,0,0,0,0,0,0,0,0,Naive
7,NHP3,-0.138541,0,0,-0.114516,0,0,0,0,0,0,0,0,Naive
8,NHP3,-0.119107,0,0,-0.302678,0,0,0,0,0,0,0,0,Naive
9,NHP3,0.109261,0,0,-0.687033,0,0,0,0,0,0,0,0,Naive
10,NHP3,0.060566,0,0,-0.374184,0,0,0,0,0,0,0,0,Naive
1,NHP30,0.450929,0,0,-0.242528,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
2,NHP30,0.1678,0,0,-0.200748,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
3,NHP30,-0.113953,0,0,-1.31523,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
4,NHP30,-0.348427,0,0,-0.267449,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
5,NHP30,-0.096006,0,0,-0.538248,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
6,NHP30,-0.0452448,0,0,-0.53517,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
7,NHP30,-0.0190242,0,0,-0.863791,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
8,NHP30,0.245466,0,0,-0.924365,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
9,NHP30,0.0390898,0,0,-0.200077,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
10,NHP30,0.135505,0,0,-0.258882,0,0,0,0,0,0,0,0,CD40.PanCoV - Conv
1,NHP31,-0.0920459,0,0,1.46208,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
2,NHP31,-0.135924,0,0,1.40487,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
3,NHP31,0.0999233,0,0,1.58909,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
4,NHP31,-0.0474198,0,0,1.52216,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
5,NHP31,-0.202922,0,0,1.39372,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
6,NHP31,-0.234828,0,0,1.3945,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
7,NHP31,-0.119738,0,0,1.38203,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
8,NHP31,-0.091425,0,0,1.3945,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
9,NHP31,0.0513075,0,0,1.48087,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
10,NHP31,-0.0769545,0,0,1.53774,0,0,0,0,0,0,0,0,CD40.RBDv - Naive
1,NHP32,0.0127332,0,0,-0.267425,0,0,0,0,0,0,0,0,mRNA - Conv
2,NHP32,0.116769,0,0,-0.419564,0,0,0,0,0,0,0,0,mRNA - Conv
3,NHP32,-0.055656,0,0,-0.542321,0,0,0,0,0,0,0,0,mRNA - Conv
4,NHP32,0.119165,0,0,-0.349609,0,0,0,0,0,0,0,0,mRNA - Conv
5,NHP32,0.00926894,0,0,-0.827241,0,0,0,0,0,0,0,0,mRNA - Conv
6,NHP32,0.0483272,0,0,-1.8599,0,0,0,0,0,0,0,0,mRNA - Conv
7,NHP32,0.0306282,0,0,-1.22928,0,0,0,0,0,0,0,0,mRNA - Conv
8,NHP32,-0.268847,0,0,-0.51017,0,0,0,0,0,0,0,0,mRNA - Conv
9,NHP32,0.197761,0,0,-0.201209,0,0,0,0,0,0,0,0,mRNA - Conv
10,NHP32,0.204979,0,0,-0.479867,0,0,0,0,0,0,0,0,mRNA - Conv
1,NHP33,0.306085,0,0,-0.657156,0,0,0,0,0,0,0,0,Conv
2,NHP33,0.0295509,0,0,0.494004,0,0,0,0,0,0,0,0,Conv
3,NHP33,-0.00212985,0,0,0.649908,0,0,0,0,0,0,0,0,Conv
4,NHP33,0.0491548,0,0,-0.282226,0,0,0,0,0,0,0,0,Conv
5,NHP33,0.00439671,0,0,0.594559,0,0,0,0,0,0,0,0,Conv
6,NHP33,0.099927,0,0,0.705726,0,0,0,0,0,0,0,0,Conv
7,NHP33,0.184153,0,0,0.462779,0,0,0,0,0,0,0,0,Conv
8,NHP33,0.548656,0,0,-0.0114125,0,0,0,0,0,0,0,0,Conv
9,NHP33,-0.0530363,0,0,0.598757,0,0,0,0,0,0,0,0,Conv
10,NHP33,0.366489,0,0,-0.105402,0,0,0,0,0,0,0,0,Conv
1,NHP34,-0.0158379,0,0,-1.52054,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP34,-0.0777576,0,0,-1.19348,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP34,-0.197104,0,0,-1.52619,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP34,0.0587315,0,0,-1.47441,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP34,0.0899383,0,0,-1.63509,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
6,NHP34,0.0569997,0,0,-1.60756,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
7,NHP34,-0.213446,0,0,-1.26562,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
8,NHP34,0.287233,0,0,-1.5611,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
9,NHP34,0.0809823,0,0,-1.39037,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
10,NHP34,0.0753729,0,0,-1.53748,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
1,NHP4,0.0638553,0,0,0.318524,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
2,NHP4,0.0261347,0,0,0.747876,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
3,NHP4,0.0713704,0,0,1.01098,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
4,NHP4,-0.00262536,0,0,1.5448,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
5,NHP4,-0.232698,0,0,-0.220864,0,0,0,0,0,0,0,0,CD40.RBDv - Conv
