rep,id,betas_N,fact_beta_T,fact_delta_T,delta_N,c,cI,k,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group
6,NHP10,14.519,0,0,1.50126,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP10,13.5098,0,0,1.0234,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP10,9.87166,0,0,1.49621,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP10,11.7311,0,0,1.30736,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP10,10.17,0,0,2.19558,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
1,NHP11,0.0661536,0,0,7.9182,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP11,0.0800317,0,0,16.1825,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP11,0.0550931,0,0,6.70872,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP11,0.072943,0,0,12.1222,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP11,0.0826516,0,0,4.87357,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP11,0.0579289,0,0,8.96644,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP11,0.0526648,0,0,49.0626,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP11,0.0681312,0,0,12.9077,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP11,0.0701832,0,0,4.83866,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP11,0.0949705,0,0,13.9089,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP12,0.000385398,0,0,3.77278,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP12,0.00036909,0,0,2.52427,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP12,0.000283012,0,0,1.59846,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP12,0.000385922,0,0,2.55991,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP12,0.000217867,0,0,1.95877,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP12,0.000265348,0,0,2.34877,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP12,0.000331219,0,0,4.21742,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP12,0.000274117,0,0,2.97262,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP12,0.00023106,0,0,3.7595,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP12,0.000276163,0,0,2.99049,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP13,15.853,0,0,1.00587,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
2,NHP13,16.0907,0,0,0.907888,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
3,NHP13,15.7007,0,0,0.93309,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
4,NHP13,14.4731,0,0,0.943219,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
5,NHP13,13.0482,0,0,0.854641,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
6,NHP13,15.1539,0,0,0.867184,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
7,NHP13,13.4914,0,0,1.29232,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
8,NHP13,18.6879,0,0,0.744145,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
9,NHP13,13.8311,0,0,0.823116,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
10,NHP13,14.4219,0,0,0.862589,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
1,NHP14,0.00326345,0,0,2.41167,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
2,NHP14,0.00446651,0,0,5.59527,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
3,NHP14,0.00401816,0,0,13.9715,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
4,NHP14,0.0031551,0,0,2.80749,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
5,NHP14,0.00301423,0,0,2.2546,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
6,NHP14,0.00347851,0,0,12.1605,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
7,NHP14,0.00414786,0,0,2.30556,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
8,NHP14,0.00374902,0,0,10.4463,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
9,NHP14,0.00311536,0,0,3.75884,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
10,NHP14,0.00299298,0,0,32.5341,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
1,NHP15,12.671,0,0,13.2704,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP15,12.5406,0,0,12.174,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP15,14.2986,0,0,13.1927,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP15,13.0339,0,0,12.7214,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP15,15.3175,0,0,12.8256,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP15,13.2891,0,0,16.7967,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP15,17.1878,0,0,13.0458,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP15,16.2859,0,0,13.1387,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP15,17.3071,0,0,16.5205,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP15,15.378,0,0,11.3448,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP16,0.00329633,0,0,1.38296,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
2,NHP16,0.00334475,0,0,1.33807,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
3,NHP16,0.00381246,0,0,2.96035,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
4,NHP16,0.00306473,0,0,1.25974,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
5,NHP16,0.00382108,0,0,1.77595,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
6,NHP16,0.00342882,0,0,4.1392,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
7,NHP16,0.00376387,0,0,0.870204,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
8,NHP16,0.00316972,0,0,1.47313,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
9,NHP16,0.0027728,0,0,0.827052,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
10,NHP16,0.00430318,0,0,0.880556,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
1,NHP17,11.7093,0,0,1.86145,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
2,NHP17,13.4214,0,0,2.355,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
3,NHP17,14.5692,0,0,3.36058,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
4,NHP17,14.9971,0,0,2.60414,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
5,NHP17,13.6731,0,0,2.40229,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
6,NHP17,12.7654,0,0,2.29685,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
7,NHP17,15.8559,0,0,1.90031,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
8,NHP17,13.3588,0,0,1.45096,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
9,NHP17,15.9479,0,0,1.59804,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
10,NHP17,15.7929,0,0,2.92585,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
1,NHP18,16.8332,0,0,2.71115,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP18,15.378,0,0,2.04474,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP18,14.196,0,0,1.77632,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP18,14.8783,0,0,2.50806,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP18,13.5991,0,0,2.00833,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP18,16.3451,0,0,2.08549,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP18,14.9054,0,0,2.16095,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP18,18.7031,0,0,2.25533,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP18,17.8226,0,0,2.72691,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP18,16.9174,0,0,3.47238,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP19,16.139,0,0,0.829818,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
2,NHP19,13.1995,0,0,0.862764,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
3,NHP19,18.8899,0,0,0.847146,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
4,NHP19,12.6327,0,0,0.678314,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
5,NHP19,16.3915,0,0,1.0265,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
6,NHP19,17.9772,0,0,0.729406,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
7,NHP19,15.0316,0,0,0.967812,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
8,NHP19,11.0783,0,0,0.935107,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
9,NHP19,20.5047,0,0,0.821707,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
10,NHP19,14.5586,0,0,0.719148,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
1,NHP2,13.1055,0,0,1.04544,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
2,NHP2,12.3392,0,0,1.12258,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
3,NHP2,15.0332,0,0,1.05892,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
4,NHP2,14.7132,0,0,1.00801,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
5,NHP2,17.2787,0,0,0.792243,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
6,NHP2,14.1782,0,0,1.06781,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
7,NHP2,12.6796,0,0,1.00637,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
8,NHP2,10.9987,0,0,1.30901,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
9,NHP2,14.1301,0,0,1.04728,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
10,NHP2,15.5269,0,0,1.35432,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
1,NHP20,0.0721709,0,0,1.33293,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP20,0.0881905,0,0,0.911948,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP20,0.0827719,0,0,1.50663,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP20,0.0823864,0,0,1.18055,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP20,0.0916963,0,0,1.27937,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP20,0.0611073,0,0,1.19309,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP20,0.0718815,0,0,0.85048,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP20,0.0822255,0,0,1.49,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP20,0.0739992,0,0,1.41256,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP20,0.0754222,0,0,0.99566,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP21,0.0467403,0,0,3.38974,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP21,0.0885258,0,0,5.58804,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP21,0.0947087,0,0,8.18377,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP21,0.074869,0,0,3.0648,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP21,0.0580409,0,0,4.7151,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP21,0.122335,0,0,9.01214,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP21,0.0857099,0,0,3.56385,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP21,0.0999749,0,0,8.90921,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP21,0.0833229,0,0,10.0826,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP21,0.0704897,0,0,4.57963,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP22,0.0719827,0,0,10.9301,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
2,NHP22,0.0542397,0,0,13.6384,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
3,NHP22,0.0451175,0,0,19.2613,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
4,NHP22,0.0894608,0,0,14.766,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
5,NHP22,0.09785,0,0,6.73202,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
6,NHP22,0.0962848,0,0,14.861,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
7,NHP22,0.0684935,0,0,17.9581,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
8,NHP22,0.0747413,0,0,8.00176,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
9,NHP22,0.107512,0,0,34.4566,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
10,NHP22,0.119175,0,0,8.35685,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Conv
1,NHP23,0.000251848,0,0,1.03298,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP23,0.000296605,0,0,1.14812,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP23,0.000352044,0,0,0.548884,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP23,0.000405184,0,0,0.719314,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP23,0.000249451,0,0,1.14832,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP23,0.000262967,0,0,1.64876,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP23,0.000244338,0,0,0.624223,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP23,0.000241505,0,0,0.769258,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP23,0.000252318,0,0,1.39711,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP23,0.000257867,0,0,1.21443,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP24,10.1766,0,0,6.70567,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP24,16.6032,0,0,8.9617,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP24,12.4892,0,0,8.04963,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP24,12.1274,0,0,7.45696,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP24,12.8955,0,0,7.90766,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
6,NHP24,10.8137,0,0,6.71726,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP24,13.6907,0,0,7.85221,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP24,12.1745,0,0,7.83411,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP24,10.3439,0,0,7.05414,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP24,11.812,0,0,7.79399,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
1,NHP25,18.8146,0,0,1.07778,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP25,15.6667,0,0,1.24224,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP25,14.3104,0,0,0.951559,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP25,12.3331,0,0,1.19182,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP25,14.9495,0,0,0.8991,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
6,NHP25,12.9291,0,0,1.01467,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP25,16.2161,0,0,0.764295,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP25,11.3455,0,0,1.04399,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP25,17.4693,0,0,0.81284,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP25,14.7104,0,0,0.976432,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
1,NHP26,20.295,0,0,3.12737,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
2,NHP26,16.8145,0,0,2.23686,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
3,NHP26,19.5055,0,0,3.03069,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
4,NHP26,18.5515,0,0,2.26147,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
5,NHP26,21.0197,0,0,2.39293,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
6,NHP26,19.2886,0,0,2.70562,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
7,NHP26,10.6192,0,0,7.9845,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
8,NHP26,22.1465,0,0,2.74175,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
9,NHP26,18.4036,0,0,2.83617,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
10,NHP26,17.589,0,0,2.93716,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Conv
1,NHP27,0.0034427,0,0,1.88138,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
2,NHP27,0.00289083,0,0,4.26432,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
3,NHP27,0.00329804,0,0,1.69739,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
4,NHP27,0.00302819,0,0,1.85103,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
5,NHP27,0.00307245,0,0,4.0742,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
6,NHP27,0.00336137,0,0,2.33688,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
7,NHP27,0.00326165,0,0,1.49545,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
8,NHP27,0.00351438,0,0,3.77657,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
9,NHP27,0.00440307,0,0,3.55459,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
10,NHP27,0.00355886,0,0,2.04449,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
1,NHP28,14.7318,0,0,1.60982,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
2,NHP28,14.208,0,0,3.30476,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
3,NHP28,12.2827,0,0,3.22256,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
4,NHP28,12.3653,0,0,3.02196,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
5,NHP28,11.7041,0,0,1.71732,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
6,NHP28,11.8206,0,0,3.15879,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
7,NHP28,15.9882,0,0,1.34389,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
8,NHP28,15.8405,0,0,3.76775,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
9,NHP28,11.2685,0,0,2.69889,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
10,NHP28,12.8063,0,0,2.42406,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.RBDv - Naive
1,NHP29,0.000212259,0,0,0.355138,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
2,NHP29,0.000325598,0,0,0.581751,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
3,NHP29,0.000255559,0,0,0.423222,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
4,NHP29,0.000246656,0,0,0.483108,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
5,NHP29,0.00021952,0,0,0.681686,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
6,NHP29,0.000353962,0,0,0.414699,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
7,NHP29,0.000231122,0,0,0.487665,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
8,NHP29,0.000372973,0,0,0.520346,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
9,NHP29,0.000292837,0,0,0.525632,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
10,NHP29,0.000217753,0,0,0.282846,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,mRNA - Conv
1,NHP3,12.5001,0,0,0.886243,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
2,NHP3,11.399,0,0,1.34835,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
3,NHP3,13.1371,0,0,1.27254,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
4,NHP3,13.5012,0,0,0.966907,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
5,NHP3,19.7545,0,0,0.907697,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
6,NHP3,12.4324,0,0,1.179,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
7,NHP3,12.3903,0,0,1.69212,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
8,NHP3,12.6335,0,0,1.40189,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
9,NHP3,15.8746,0,0,0.954532,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
10,NHP3,15.1201,0,0,1.30514,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,Naive
1,NHP30,0.00500548,0,0,1.4888,3,20,3,0.001,10936.8,0.505118,1.54711,4.5,CD40.PanCoV - Conv
