rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,Group,groupVsnaive
1,201,0.154517485949734,0,0,-0.405505920230065,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,201,0.336756431833778,0,0,-0.245479016878776,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,201,0.0865998028603546,0,0,0.0037364224159383,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,201,0.330968370987212,0,0,-0.098773934101568,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,201,0.229490390786089,0,0,0.0134249295821403,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,201,0.485289819126178,0,0,-0.0162145864066177,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,201,0.475097007052122,0,0,-0.139182300310188,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,201,0.147795401696675,0,0,-0.389335629343998,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,201,0.496143958532081,0,0,-0.25868629385205,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,201,0.468178371567561,0,0,-0.187955652223746,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,202,-0.25600961961198,0,0,-0.0862057674379518,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,202,-0.231912021740301,0,0,-0.154178754791656,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,202,0.234961699795149,0,0,0.267809098515329,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,202,-0.357114861583752,0,0,-0.0629093772293429,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,202,-0.416860322088735,0,0,0.10498237696741,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,202,-0.0756971229749738,0,0,0.38094863571102,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,202,-0.293383660012081,0,0,-0.0626428751559807,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,202,-0.196704598442666,0,0,-0.115860712550396,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,202,-0.264880175248766,0,0,0.0952574444847355,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,202,-0.574770632560112,0,0,0.00155049420402316,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,203,-0.142422055990819,0,0,-0.107799548158689,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,203,0.0513290998144906,0,0,-0.0299341830629941,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,203,0.129476558809541,0,0,0.0132805752172758,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,203,-0.131188059041211,0,0,0.0506765870632831,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,203,0.138231661557296,0,0,0.0383585452040211,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,203,-0.0786713392366722,0,0,0.132362546651627,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,203,-0.0979121657413119,0,0,-0.0320790014309638,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,203,0.156763066958709,0,0,0.333328655176329,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,203,0.295444340908213,0,0,0.0304579414280904,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,203,0.0570147823004524,0,0,-0.114269653637329,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,204,-0.391616713513665,0,0,-0.115640197511692,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,204,-0.230767413884527,0,0,-0.166307146805516,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,204,-0.289066539212294,0,0,0.0398036098024528,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,204,-0.277700408155778,0,0,-0.022611267735069,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,204,-0.730353819162714,0,0,-0.415209310824638,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,204,-0.177713847460027,0,0,-0.0525826471189314,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,204,0.258455497365666,0,0,-0.221088584983679,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,204,-0.0856016815130421,0,0,-0.0990018559676015,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,204,0.272364672879803,0,0,0.223122410444769,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,204,-0.00958669833174219,0,0,-0.106689098875157,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,205,-0.280624025174373,0,0,-0.165675455971668,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,205,0.0742384772440391,0,0,0.102690746703969,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,205,-0.0359446942010125,0,0,-0.13716860163301,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,205,-0.29386629334085,0,0,0.0678632324463563,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,205,0.0355164326566281,0,0,-0.00776107299157819,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,205,-0.0149273213806122,0,0,0.0664087394191889,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,205,-0.36044391262249,0,0,-0.233071670196489,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,205,0.0111134628674451,0,0,-0.00278631484329459,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,205,-0.120474825349131,0,0,-0.0458667242571397,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,205,-0.713142826002461,0,0,-0.0876633179661159,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,206,-0.459501357088354,0,0,-0.0919441262765374,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
2,206,0.0102759716318462,0,0,0.0221954176249823,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
3,206,-0.382275906138595,0,0,0.233087016689635,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
4,206,-0.625976979798497,0,0,-0.0434394359776071,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
5,206,0.187551742429759,0,0,0.251494211652262,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
6,206,-0.168302170896139,0,0,0.300528402692707,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
7,206,-0.0907164093960934,0,0,0.225660419536773,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
8,206,0.0656414974768121,0,0,0.11145401615382,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
9,206,-0.265235691848754,0,0,0.324885760245197,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
10,206,-0.320054745910113,0,0,-0.0749110809651331,0,0,0,0,0,0,0,0,0,Convalescent,G_conv
1,301,0.0242378114191903,0,0,0.095678344093925,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,301,0.304978294066389,0,0,0.121341599877354,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,301,0.0627834276781076,0,0,-0.156671348765673,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,301,0.226885600590062,0,0,-0.0310880944374501,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,301,0.235845877736931,0,0,0.213893632458697,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,301,-0.0261709782244682,0,0,-0.335586511277742,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,301,-0.123655515988328,0,0,-0.41262931042034,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,301,0.286791033533393,0,0,0.0310129069935344,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,301,0.0991497945787459,0,0,0.111845472458585,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,301,-0.33208483796737,0,0,-0.107594315982492,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,302,-0.719845039161416,0,0,0.0944795950492876,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,302,-0.430755007505589,0,0,0.0287732946880452,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,302,-0.425666699886155,0,0,-0.247815146023569,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,302,-0.0380956160426848,0,0,0.01835327944156,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,302,0.311416571161547,0,0,0.119058099060915,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,302,-0.246186742518331,0,0,-0.0553416159998678,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,302,-0.168566398686649,0,0,0.353083443236305,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,302,-0.28260960452945,0,0,0.054038230594753,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,302,-0.308744119709807,0,0,0.0028604976113393,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,302,-0.0188854979651032,0,0,0.444785789182284,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,303,-0.184714828645656,0,0,0.121138040008109,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,303,0.200187649459558,0,0,-0.0732647246015056,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,303,-0.0326006644805467,0,0,0.130566155157236,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,303,0.296476599940464,0,0,-0.0338203121894359,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,303,0.121912048420577,0,0,0.417710682132078,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,303,0.055194732000093,0,0,0.209458521921174,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,303,-0.0997510311129876,0,0,0.120951448722225,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,303,-0.47273382998657,0,0,-0.00015838630340187,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,303,0.256173121986311,0,0,0.152956909313512,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,303,-0.5304163816846,0,0,0.0582088862030586,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,304,-0.0299392165165874,0,0,-0.209149133770494,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,304,-0.10993177638669,0,0,-0.278178494239904,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,304,0.299095565185602,0,0,-0.126896610166012,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,304,0.30403662271211,0,0,-0.386418498527377,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,304,0.021723033386802,0,0,-0.189054753921954,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,304,-0.00224395949190143,0,0,-0.230084315032787,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,304,-0.199792648530461,0,0,-0.404443455641927,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,304,0.116945477879584,0,0,-0.248133572681779,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,304,0.115864753241981,0,0,0.0455539639908765,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,304,0.357286856626386,0,0,-0.0765345028179467,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,305,0.0837362664358385,0,0,-0.0486991479984932,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,305,-0.327279333993806,0,0,0.00403288865051062,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,305,-0.365010410048932,0,0,-0.13639262092064,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,305,-0.00640493752497372,0,0,0.152183657866103,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,305,0.301742102041977,0,0,0.143380356099741,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,305,-0.168402886751818,0,0,0.179069763885058,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,305,0.483180985359998,0,0,0.0157856659685528,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,305,0.35465320484561,0,0,0.130132343324383,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,305,-0.305543997795355,0,0,-0.0872317487716553,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,305,0.148164163270381,0,0,0.0627494541528492,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,306,0.151971613974553,0,0,0.0499089437449375,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,306,-0.143535836652632,0,0,0.172612876910475,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,306,0.378090783125236,0,0,0.0361653136437554,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,306,-0.582871911694228,0,0,-0.216054542710283,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,306,0.105508181266654,0,0,-0.202960809504696,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,306,0.193927178004146,0,0,-0.0930471814671098,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,306,0.750809375726873,0,0,-0.362878112313603,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,306,-0.12447876254686,0,0,-0.0692707369552478,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,306,0.250089427922754,0,0,0.0509139640872154,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,306,-0.270235143827213,0,0,-0.0590904436280734,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
