id,betas_N_SAEM,fact_beta_T_SAEM,delta_N_SAEM,fact_delta_T_SAEM,P_N_SAEM,fact_P_T_SAEM,mu_SAEM,k_SAEM,c_SAEM,cI_SAEM,alpha_VLSG_SAEM,S0_SAEM,gamma_SAEM,rho_SAEM,Smax_SAEM,tauS_SAEM,theta_BAb_SAEM,alpha_NAb_SAEM,tauAb_SAEM,eta_SAEM,thresh_Weight_SAEM,betas_N_mean,fact_beta_T_mean,delta_N_mean,fact_delta_T_mean,P_N_mean,fact_P_T_mean,mu_mean,k_mean,c_mean,cI_mean,alpha_VLSG_mean,S0_mean,gamma_mean,rho_mean,Smax_mean,tauS_mean,theta_BAb_mean,alpha_NAb_mean,tauAb_mean,eta_mean,thresh_Weight_mean,betas_N_mode,fact_beta_T_mode,delta_N_mode,fact_delta_T_mode,P_N_mode,fact_P_T_mode,mu_mode,k_mode,c_mode,cI_mode,alpha_VLSG_mode,S0_mode,gamma_mode,rho_mode,Smax_mode,tauS_mode,theta_BAb_mode,alpha_NAb_mode,tauAb_mode,eta_mode,thresh_Weight_mode,betas_N_sd,fact_beta_T_sd,delta_N_sd,fact_delta_T_sd,P_N_sd,fact_P_T_sd,mu_sd,k_sd,c_sd,cI_sd,alpha_VLSG_sd,S0_sd,gamma_sd,rho_sd,Smax_sd,tauS_sd,theta_BAb_sd,alpha_NAb_sd,tauAb_sd,eta_sd,thresh_Weight_sd,Group
NHP19,10.3421,0,0.912612,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.93582,1e-05,1.45932,843.297,2.3,4.7203,0.000547042,12,2.01379,4.5,10.0353,0,0.937972,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.125,1e-05,1.45874,853.153,2.3,4.52603,0.000548382,12,2.09414,4.5,10.0353,0,0.928351,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.91814,1e-05,1.45874,853.153,2.3,4.44882,0.000548382,12,1.48097,4.5,0,0,0.131139,0,0,0,0,0,0,0,0,0.937354,0,0,0,0,1.25023,0,0,2.36361,0,Naive
NHP2,10.3421,0,1.14382,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.23795,1e-05,1.45932,843.297,2.3,3.91558,0.000547042,12,1.1561,4.5,10.0353,0,1.18325,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.35711,1e-05,1.45874,853.153,2.3,3.63505,0.000548382,12,1.47019,4.5,10.0353,0,1.15427,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.21928,1e-05,1.45874,853.153,2.3,3.57774,0.000548382,12,1.01163,4.5,0,0,0.180974,0,0,0,0,0,0,0,0,0.606955,0,0,0,0,0.968908,0,0,2.26381,0,Naive
NHP20,10.3421,0,1.30091,0,15519.4,-0.244631,0.001,3,3,20,1.6144,698.376,1e-05,1.45932,843.297,2.3,4.16061,0.000547042,12,5.71591,4.5,10.0353,0,1.30853,0,15993.2,-0.231585,0.001,3,3,20,1.61821,702.373,1e-05,1.45874,853.153,2.3,4.1781,0.000548382,12,6.13398,4.5,10.0353,0,1.24404,0,15993.2,-0.231585,0.001,3,3,20,1.61821,660.607,1e-05,1.45874,853.153,2.3,4.0016,0.000548382,12,3.98924,4.5,0,0,0.376514,0,0,0,0,0,0,0,0,266.519,0,0,0,0,1.16583,0,0,6.60918,0,CD40.RBDv - Conv
NHP21,10.3421,0,2.25591,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1188.06,1e-05,1.45932,843.297,2.3,6.14391,0.000547042,12,23.1613,4.5,10.0353,0,2.1314,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1356.87,1e-05,1.45874,853.153,2.3,5.68054,0.000548382,12,23.2832,4.5,10.0353,0,2.0178,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1225.92,1e-05,1.45874,853.153,2.3,5.50222,0.000548382,12,12.6459,4.5,0,0,0.810771,0,0,0,0,0,0,0,0,508.71,0,0,0,0,1.7764,0,0,31.8508,0,CD40.RBDv - Conv
NHP22,10.3421,0,2.29272,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1066.42,1e-05,1.45932,843.297,2.3,6.13403,0.000547042,12,112.737,4.5,10.0353,0,2.4286,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1057.07,1e-05,1.45874,853.153,2.3,6.01421,0.000548382,12,133.478,4.5,10.0353,0,2.1909,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1071.09,1e-05,1.45874,853.153,2.3,5.58793,0.000548382,12,69.5025,4.5,0,0,0.952691,0,0,0,0,0,0,0,0,363.594,0,0,0,0,1.59998,0,0,159.239,0,CD40.RBDv - Conv
NHP23,10.3421,0,1.32388,0,15519.4,-0.244631,0.001,3,3,20,1.6144,4154.82,1e-05,1.45932,843.297,2.3,7.91331,0.000547042,12,71.7605,4.5,10.0353,0,1.2716,0,15993.2,-0.231585,0.001,3,3,20,1.61821,4777.9,1e-05,1.45874,853.153,2.3,7.03919,0.000548382,12,81.7369,4.5,10.0353,0,1.25786,0,15993.2,-0.231585,0.001,3,3,20,1.61821,4180.53,1e-05,1.45874,853.153,2.3,6.92366,0.000548382,12,43.5233,4.5,0,0,0.437893,0,0,0,0,0,0,0,0,1919.13,0,0,0,0,2.5978,0,0,98.4129,0,mRNA - Conv
NHP24,10.3421,0,2.44762,0,15519.4,-0.244631,0.001,3,3,20,1.6144,7.76731,1e-05,1.45932,843.297,2.3,27.2553,0.000547042,12,1.667,4.5,10.0353,0,2.57204,0,15993.2,-0.231585,0.001,3,3,20,1.61821,8.79438,1e-05,1.45874,853.153,2.3,24.9788,0.000548382,12,1.43796,4.5,10.0353,0,2.40115,0,15993.2,-0.231585,0.001,3,3,20,1.61821,7.9917,1e-05,1.45874,853.153,2.3,24.0786,0.000548382,12,1.45953,4.5,0,0,0.740216,0,0,0,0,0,0,0,0,2.8569,0,0,0,0,6.16447,0,0,0.778694,0,CD40.RBDv - Naive
NHP25,10.3421,0,1.35006,0,15519.4,-0.244631,0.001,3,3,20,1.6144,10.0988,1e-05,1.45932,843.297,2.3,15.2366,0.000547042,12,0.102875,4.5,10.0353,0,1.34946,0,15993.2,-0.231585,0.001,3,3,20,1.61821,9.6883,1e-05,1.45874,853.153,2.3,15.6275,0.000548382,12,0.0991714,4.5,10.0353,0,1.31445,0,15993.2,-0.231585,0.001,3,3,20,1.61821,9.35829,1e-05,1.45874,853.153,2.3,15.0112,0.000548382,12,0.0916462,4.5,0,0,0.214129,0,0,0,0,0,0,0,0,3.93228,0,0,0,0,3.97288,0,0,0.109417,0,CD40.RBDv - Naive
NHP26,10.3421,0,5.17327,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.01471,1e-05,1.45932,843.297,2.3,48.8587,0.000547042,12,1.61162,4.5,10.0353,0,5.67152,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.892799,1e-05,1.45874,853.153,2.3,52.6298,0.000548382,12,1.40367,4.5,10.0353,0,5.135,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.93326,1e-05,1.45874,853.153,2.3,48.0944,0.000548382,12,1.46424,4.5,0,0,1.40179,0,0,0,0,0,0,0,0,0.325253,0,0,0,0,13.6771,0,0,1.03698,0,Conv
NHP27,10.3421,0,1.65486,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1303.2,1e-05,1.45932,843.297,2.3,4.11934,0.000547042,12,337.641,4.5,10.0353,0,1.76928,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1295,1e-05,1.45874,853.153,2.3,4.14619,0.000548382,12,344.714,4.5,10.0353,0,1.6172,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1181.55,1e-05,1.45874,853.153,2.3,3.96758,0.000548382,12,183.729,4.5,0,0,0.74753,0,0,0,0,0,0,0,0,530.67,0,0,0,0,1.26759,0,0,489.345,0,CD40.PanCoV - Conv
NHP28,10.3421,0,2.66403,0,15519.4,-0.244631,0.001,3,3,20,1.6144,9.92923,1e-05,1.45932,843.297,2.3,11.568,0.000547042,12,0.568932,4.5,10.0353,0,2.68601,0,15993.2,-0.231585,0.001,3,3,20,1.61821,9.71773,1e-05,1.45874,853.153,2.3,11.7663,0.000548382,12,0.628804,4.5,10.0353,0,2.64969,0,15993.2,-0.231585,0.001,3,3,20,1.61821,9.58331,1e-05,1.45874,853.153,2.3,10.8013,0.000548382,12,0.543788,4.5,0,0,0.549159,0,0,0,0,0,0,0,0,4.40085,0,0,0,0,3.03714,0,0,0.47456,0,CD40.RBDv - Naive
NHP29,10.3421,0,0.882617,0,15519.4,-0.244631,0.001,3,3,20,1.6144,2997.5,1e-05,1.45932,843.297,2.3,5.44585,0.000547042,12,219.334,4.5,10.0353,0,0.845141,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3235.67,1e-05,1.45874,853.153,2.3,4.9687,0.000548382,12,203.013,4.5,10.0353,0,0.850507,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2963.56,1e-05,1.45874,853.153,2.3,4.88051,0.000548382,12,107.698,4.5,0,0,0.237798,0,0,0,0,0,0,0,0,1148.55,0,0,0,0,1.51213,0,0,239.194,0,mRNA - Conv
NHP3,10.3421,0,1.34334,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.49876,1e-05,1.45932,843.297,2.3,4.8889,0.000547042,12,2.12064,4.5,10.0353,0,1.3118,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.47398,1e-05,1.45874,853.153,2.3,4.95919,0.000548382,12,1.85392,4.5,10.0353,0,1.31062,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.48737,1e-05,1.45874,853.153,2.3,4.69512,0.000548382,12,2.48743,4.5,0,0,0.216301,0,0,0,0,0,0,0,0,0.537113,0,0,0,0,1.29073,0,0,1.93961,0,Naive
NHP30,10.3421,0,1.76131,0,15519.4,-0.244631,0.001,3,3,20,1.6144,916.644,1e-05,1.45932,843.297,2.3,3.12783,0.000547042,12,20.032,4.5,10.0353,0,1.75861,0,15993.2,-0.231585,0.001,3,3,20,1.61821,908.5,1e-05,1.45874,853.153,2.3,3.12706,0.000548382,12,21.4729,4.5,10.0353,0,1.70904,0,15993.2,-0.231585,0.001,3,3,20,1.61821,812.314,1e-05,1.45874,853.153,2.3,3.09484,0.000548382,12,12.8495,4.5,0,0,0.608671,0,0,0,0,0,0,0,0,365.64,0,0,0,0,0.904999,0,0,28.4967,0,CD40.PanCoV - Conv
NHP31,10.3421,0,2.09443,0,15519.4,-0.244631,0.001,3,3,20,1.6144,15.4237,1e-05,1.45932,843.297,2.3,15.2567,0.000547042,12,1.94087,4.5,10.0353,0,2.16719,0,15993.2,-0.231585,0.001,3,3,20,1.61821,14.2503,1e-05,1.45874,853.153,2.3,15.6954,0.000548382,12,1.97288,4.5,10.0353,0,1.89183,0,15993.2,-0.231585,0.001,3,3,20,1.61821,13.55,1e-05,1.45874,853.153,2.3,15.2621,0.000548382,12,1.793,4.5,0,0,0.814825,0,0,0,0,0,0,0,0,5.55179,0,0,0,0,4.25307,0,0,1.25964,0,CD40.RBDv - Naive
NHP32,10.3421,0,1.33915,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1819.63,1e-05,1.45932,843.297,2.3,3.26184,0.000547042,12,238.728,4.5,10.0353,0,1.35734,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1899.72,1e-05,1.45874,853.153,2.3,3.1889,0.000548382,12,299.501,4.5,10.0353,0,1.27723,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1716.46,1e-05,1.45874,853.153,2.3,3.11294,0.000548382,12,144.09,4.5,0,0,0.452506,0,0,0,0,0,0,0,0,842.49,0,0,0,0,0.99807,0,0,442.885,0,mRNA - Conv
NHP33,10.3421,0,4.97871,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.35664,1e-05,1.45932,843.297,2.3,21.8335,0.000547042,12,2.55111,4.5,10.0353,0,5.13831,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.39529,1e-05,1.45874,853.153,2.3,22.916,0.000548382,12,2.1937,4.5,10.0353,0,4.77598,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.35274,1e-05,1.45874,853.153,2.3,21.487,0.000548382,12,2.11309,4.5,0,0,1.33707,0,0,0,0,0,0,0,0,0.468369,0,0,0,0,5.27008,0,0,2.14682,0,Conv
NHP34,10.3421,0,1.46873,0,15519.4,-0.244631,0.001,3,3,20,1.6144,453.08,1e-05,1.45932,843.297,2.3,4.16784,0.000547042,12,0.824462,4.5,10.0353,0,1.56041,0,15993.2,-0.231585,0.001,3,3,20,1.61821,450.915,1e-05,1.45874,853.153,2.3,4.12467,0.000548382,12,0.699584,4.5,10.0353,0,1.6033,0,15993.2,-0.231585,0.001,3,3,20,1.61821,473.072,1e-05,1.45874,853.153,2.3,3.74818,0.000548382,12,0.572208,4.5,0,0,0.381299,0,0,0,0,0,0,0,0,176.759,0,0,0,0,1.16121,0,0,0.23981,0,CD40.RBDv - Conv
NHP4,10.3421,0,2.09491,0,15519.4,-0.244631,0.001,3,3,20,1.6144,781.178,1e-05,1.45932,843.297,2.3,5.15105,0.000547042,12,56.1299,4.5,10.0353,0,2.14589,0,15993.2,-0.231585,0.001,3,3,20,1.61821,840.644,1e-05,1.45874,853.153,2.3,4.92523,0.000548382,12,68.3242,4.5,10.0353,0,1.93812,0,15993.2,-0.231585,0.001,3,3,20,1.61821,777.56,1e-05,1.45874,853.153,2.3,4.64412,0.000548382,12,26.1869,4.5,0,0,0.860626,0,0,0,0,0,0,0,0,340.613,0,0,0,0,1.42604,0,0,163.403,0,CD40.RBDv - Conv
NHP5,10.3421,0,3.72396,0,15519.4,-0.244631,0.001,3,3,20,1.6144,1.04336,1e-05,1.45932,843.297,2.3,28.8039,0.000547042,12,6.55195,4.5,10.0353,0,3.49168,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.12345,1e-05,1.45874,853.153,2.3,26.3614,0.000548382,12,7.59405,4.5,10.0353,0,2.83914,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.01249,1e-05,1.45874,853.153,2.3,26.9062,0.000548382,12,7.36868,4.5,0,0,1.43804,0,0,0,0,0,0,0,0,0.415358,0,0,0,0,6.92386,0,0,6.19187,0,Conv
NHP6,10.3421,0,3.0226,0,15519.4,-0.244631,0.001,3,3,20,1.6144,0.602362,1e-05,1.45932,843.297,2.3,24.6176,0.000547042,12,2.35772,4.5,10.0353,0,3.44634,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.57856,1e-05,1.45874,853.153,2.3,24.2268,0.000548382,12,1.27404,4.5,10.0353,0,3.94811,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.548056,1e-05,1.45874,853.153,2.3,23.7858,0.000548382,12,0.375201,4.5,0,0,0.868973,0,0,0,0,0,0,0,0,0.192076,0,0,0,0,6.16912,0,0,1.79292,0,Conv
NHP7,10.3421,0,1.79329,0,15519.4,-0.244631,0.001,3,3,20,1.6144,2485.18,1e-05,1.45932,843.297,2.3,4.13557,0.000547042,12,488.119,4.5,10.0353,0,1.74868,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2503.71,1e-05,1.45874,853.153,2.3,4.14759,0.000548382,12,596.694,4.5,10.0353,0,1.61782,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2304.49,1e-05,1.45874,853.153,2.3,4.04001,0.000548382,12,286.907,4.5,0,0,0.761333,0,0,0,0,0,0,0,0,1108.71,0,0,0,0,1.24517,0,0,913.297,0,mRNA - Conv
NHP8,10.3421,0,1.72085,0,15519.4,-0.244631,0.001,3,3,20,1.6144,3340.53,1e-05,1.45932,843.297,2.3,6.46048,0.000547042,12,1053.29,4.5,10.0353,0,1.86234,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3258.89,1e-05,1.45874,853.153,2.3,6.64395,0.000548382,12,1549.09,4.5,10.0353,0,1.69403,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3277.31,1e-05,1.45874,853.153,2.3,5.96873,0.000548382,12,491.587,4.5,0,0,0.859368,0,0,0,0,0,0,0,0,1239.28,0,0,0,0,2.17015,0,0,3324.92,0,mRNA - Conv
NHP9,10.3421,0,1.23811,0,15519.4,-0.244631,0.001,3,3,20,1.6144,17.0037,1e-05,1.45932,843.297,2.3,23.1078,0.000547042,12,0.333617,4.5,10.0353,0,1.25991,0,15993.2,-0.231585,0.001,3,3,20,1.61821,17.1062,1e-05,1.45874,853.153,2.3,22.7503,0.000548382,12,0.341766,4.5,10.0353,0,1.30974,0,15993.2,-0.231585,0.001,3,3,20,1.61821,16.3771,1e-05,1.45874,853.153,2.3,22.333,0.000548382,12,0.297818,4.5,0,0,0.221768,0,0,0,0,0,0,0,0,8.078,0,0,0,0,5.75123,0,0,0.162547,0,CD40.RBDv - Naive
