id,eta_betas_N_SAEM,eta_fact_beta_T_SAEM,eta_delta_N_SAEM,eta_fact_delta_T_SAEM,eta_P_N_SAEM,eta_fact_P_T_SAEM,eta_mu_SAEM,eta_k_SAEM,eta_c_SAEM,eta_cI_SAEM,eta_alpha_VLSG_SAEM,eta_S0_SAEM,eta_gamma_SAEM,eta_rho_SAEM,eta_Smax_SAEM,eta_tauS_SAEM,eta_theta_BAb_SAEM,eta_alpha_NAb_SAEM,eta_tauAb_SAEM,eta_eta_SAEM,eta_thresh_Weight_SAEM,eta_betas_N_mean,eta_fact_beta_T_mean,eta_delta_N_mean,eta_fact_delta_T_mean,eta_P_N_mean,eta_fact_P_T_mean,eta_mu_mean,eta_k_mean,eta_c_mean,eta_cI_mean,eta_alpha_VLSG_mean,eta_S0_mean,eta_gamma_mean,eta_rho_mean,eta_Smax_mean,eta_tauS_mean,eta_theta_BAb_mean,eta_alpha_NAb_mean,eta_tauAb_mean,eta_eta_mean,eta_thresh_Weight_mean,eta_betas_N_mode,eta_fact_beta_T_mode,eta_delta_N_mode,eta_fact_delta_T_mode,eta_P_N_mode,eta_fact_P_T_mode,eta_mu_mode,eta_k_mode,eta_c_mode,eta_cI_mode,eta_alpha_VLSG_mode,eta_S0_mode,eta_gamma_mode,eta_rho_mode,eta_Smax_mode,eta_tauS_mode,eta_theta_BAb_mode,eta_alpha_NAb_mode,eta_tauAb_mode,eta_eta_mode,eta_thresh_Weight_mode,eta_betas_N_sd,eta_fact_beta_T_sd,eta_delta_N_sd,eta_fact_delta_T_sd,eta_P_N_sd,eta_fact_P_T_sd,eta_mu_sd,eta_k_sd,eta_c_sd,eta_cI_sd,eta_alpha_VLSG_sd,eta_S0_sd,eta_gamma_sd,eta_rho_sd,eta_Smax_sd,eta_tauS_sd,eta_theta_BAb_sd,eta_alpha_NAb_sd,eta_tauAb_sd,eta_eta_sd,eta_thresh_Weight_sd,Group
NHP19,0,0,-0.52972,0,0,0,0,0,0,0,0,0.578359,0,0,0,0,-0.0273602,0,0,0.0784175,0,0,0,-0.514219,0,0,0,0,0,0,0,0,0.66926,0,0,0,0,-0.0443904,0,0,0.25091,0,0,0,-0.514783,0,0,0,0,0,0,0,0,0.651357,0,0,0,0,-0.0230957,0,0,0.604091,0,0,0,0.13982,0,0,0,0,0,0,0,0,0.404543,0,0,0,0,0.280008,0,0,1.35617,0,Naive
NHP2,0,0,-0.304189,0,0,0,0,0,0,0,0,0.127978,0,0,0,0,-0.207593,0,0,-0.407065,0,0,0,-0.283532,0,0,0,0,0,0,0,0,0.217746,0,0,0,0,-0.259609,0,0,-0.143123,0,0,0,-0.296967,0,0,0,0,0,0,0,0,0.19826,0,0,0,0,-0.241005,0,0,0.222957,0,0,0,0.150297,0,0,0,0,0,0,0,0,0.413146,0,0,0,0,0.262572,0,0,1.29929,0,Naive
NHP20,0,0,-0.198357,0,0,0,0,0,0,0,0,-0.129777,0,0,0,0,-0.156856,0,0,-1.23275,0,0,0,-0.21116,0,0,0,0,0,0,0,0,-0.157846,0,0,0,0,-0.124095,0,0,-1.27908,0,0,0,-0.222077,0,0,0,0,0,0,0,0,-0.152268,0,0,0,0,-0.12904,0,0,-1.35113,0,0,0,0.283369,0,0,0,0,0,0,0,0,0.367047,0,0,0,0,0.277312,0,0,0.815683,0,CD40.RBDv - Conv
NHP21,0,0,0.313403,0,0,0,0,0,0,0,0,0.391279,0,0,0,0,0.227667,0,0,-0.14792,0,0,0,0.251471,0,0,0,0,0,0,0,0,0.498956,0,0,0,0,0.176077,0,0,-0.150061,0,0,0,0.261573,0,0,0,0,0,0,0,0,0.466019,0,0,0,0,0.189417,0,0,-0.197394,0,0,0,0.356037,0,0,0,0,0,0,0,0,0.374953,0,0,0,0,0.299297,0,0,1.04993,0,CD40.RBDv - Conv
NHP22,0,0,0.326581,0,0,0,0,0,0,0,0,0.312383,0,0,0,0,0.234704,0,0,1.5292,0,0,0,0.375218,0,0,0,0,0,0,0,0,0.263597,0,0,0,0,0.244169,0,0,1.63573,0,0,0,0.343877,0,0,0,0,0,0,0,0,0.331003,0,0,0,0,0.204874,0,0,1.50664,0,0,0,0.379627,0,0,0,0,0,0,0,0,0.327098,0,0,0,0,0.262356,0,0,1.05811,0,CD40.RBDv - Conv
NHP23,0,0,-0.209599,0,0,0,0,0,0,0,0,0.442789,0,0,0,0,0.485438,0,0,-1.4848,0,0,0,-0.256591,0,0,0,0,0,0,0,0,0.550199,0,0,0,0,0.374017,0,0,-1.43734,0,0,0,-0.211022,0,0,0,0,0,0,0,0,0.492486,0,0,0,0,0.419209,0,0,-1.5631,0,0,0,0.335682,0,0,0,0,0,0,0,0,0.390887,0,0,0,0,0.348193,0,0,1.00701,0,mRNA - Conv
NHP24,0,0,0.427843,0,0,0,0,0,0,0,0,-0.383828,0,0,0,0,0.460468,0,0,0.52756,0,0,0,0.46411,0,0,0,0,0,0,0,0,-0.293007,0,0,0,0,0.385889,0,0,0.441836,0,0,0,0.435511,0,0,0,0,0,0,0,0,-0.337468,0,0,0,0,0.379316,0,0,0.589509,0,0,0,0.285107,0,0,0,0,0,0,0,0,0.321925,0,0,0,0,0.246348,0,0,0.529178,0,CD40.RBDv - Naive
NHP25,0,0,-0.140562,0,0,0,0,0,0,0,0,-0.124569,0,0,0,0,-0.115859,0,0,-2.47071,0,0,0,-0.152992,0,0,0,0,0,0,0,0,-0.217298,0,0,0,0,-0.0850635,0,0,-2.55088,0,0,0,-0.16702,0,0,0,0,0,0,0,0,-0.179609,0,0,0,0,-0.0932108,0,0,-2.17842,0,0,0,0.156013,0,0,0,0,0,0,0,0,0.376468,0,0,0,0,0.25444,0,0,0.976629,0,CD40.RBDv - Naive
NHP26,0,0,0.212179,0,0,0,0,0,0,0,0,-0.042503,0,0,0,0,0.454375,0,0,0.435065,0,0,0,0.284063,0,0,0,0,0,0,0,0,-0.176677,0,0,0,0,0.534268,0,0,0.257391,0,0,0,0.215095,0,0,0,0,0,0,0,0,-0.0690712,0,0,0,0,0.477482,0,0,0.592735,0,0,0,0.247768,0,0,0,0,0,0,0,0,0.355864,0,0,0,0,0.259045,0,0,0.836704,0,Conv
NHP27,0,0,0.0136584,0,0,0,0,0,0,0,0,-0.0851472,0,0,0,0,-0.155473,0,0,0.642441,0,0,0,0.0536121,0,0,0,0,0,0,0,0,-0.100249,0,0,0,0,-0.139926,0,0,0.50733,0,0,0,0.0402595,0,0,0,0,0,0,0,0,-0.111396,0,0,0,0,-0.13758,0,0,0.504958,0,0,0,0.389472,0,0,0,0,0,0,0,0,0.406578,0,0,0,0,0.306964,0,0,1.09859,0,CD40.PanCoV - Conv
NHP28,0,0,0.524265,0,0,0,0,0,0,0,0,-0.146131,0,0,0,0,-0.399103,0,0,-0.695573,0,0,0,0.526162,0,0,0,0,0,0,0,0,-0.21478,0,0,0,0,-0.36773,0,0,-0.503608,0,0,0,0.534007,0,0,0,0,0,0,0,0,-0.155848,0,0,0,0,-0.422341,0,0,-0.3978,0,0,0,0.209429,0,0,0,0,0,0,0,0,0.367566,0,0,0,0,0.246682,0,0,0.732007,0,CD40.RBDv - Naive
NHP29,0,0,-0.58785,0,0,0,0,0,0,0,0,0.119148,0,0,0,0,0.111708,0,0,-0.556204,0,0,0,-0.649101,0,0,0,0,0,0,0,0,0.175109,0,0,0,0,0.0442775,0,0,-0.556926,0,0,0,-0.60236,0,0,0,0,0,0,0,0,0.148439,0,0,0,0,0.0695138,0,0,-0.657064,0,0,0,0.287626,0,0,0,0,0,0,0,0,0.352426,0,0,0,0,0.291979,0,0,1.04541,0,mRNA - Conv
NHP3,0,0,-0.149429,0,0,0,0,0,0,0,0,0.35444,0,0,0,0,0.0246154,0,0,0.351877,0,0,0,-0.181994,0,0,0,0,0,0,0,0,0.326546,0,0,0,0,0.0524474,0,0,0.293097,0,0,0,-0.169939,0,0,0,0,0,0,0,0,0.397011,0,0,0,0,0.0307879,0,0,1.12264,0,0,0,0.159737,0,0,0,0,0,0,0,0,0.350537,0,0,0,0,0.257229,0,0,1.17008,0,Naive
NHP30,0,0,0.0979817,0,0,0,0,0,0,0,0,-0.442764,0,0,0,0,-0.430137,0,0,-2.01382,0,0,0,0.066508,0,0,0,0,0,0,0,0,-0.449953,0,0,0,0,-0.41654,0,0,-2.11922,0,0,0,0.0954973,0,0,0,0,0,0,0,0,-0.486091,0,0,0,0,-0.385998,0,0,-2.1552,0,0,0,0.339551,0,0,0,0,0,0,0,0,0.389571,0,0,0,0,0.287598,0,0,0.979683,0,CD40.PanCoV - Conv
NHP31,0,0,0.250263,0,0,0,0,0,0,0,0,0.29327,0,0,0,0,-0.120082,0,0,0.638039,0,0,0,0.270562,0,0,0,0,0,0,0,0,0.168881,0,0,0,0,-0.0842986,0,0,0.68307,0,0,0,0.197108,0,0,0,0,0,0,0,0,0.190518,0,0,0,0,-0.0766386,0,0,0.795287,0,0,0,0.347495,0,0,0,0,0,0,0,0,0.379574,0,0,0,0,0.267821,0,0,0.690008,0,CD40.RBDv - Naive
NHP32,0,0,-0.176429,0,0,0,0,0,0,0,0,-0.373177,0,0,0,0,-0.39372,0,0,-0.317302,0,0,0,-0.1887,0,0,0,0,0,0,0,0,-0.385371,0,0,0,0,-0.405145,0,0,-0.27097,0,0,0,-0.19574,0,0,0,0,0,0,0,0,-0.397689,0,0,0,0,-0.380167,0,0,-0.365959,0,0,0,0.329182,0,0,0,0,0,0,0,0,0.419849,0,0,0,0,0.316317,0,0,1.14669,0,mRNA - Conv
NHP33,0,0,0.166939,0,0,0,0,0,0,0,0,0.253718,0,0,0,0,-0.345305,0,0,0.736421,0,0,0,0.180059,0,0,0,0,0,0,0,0,0.279322,0,0,0,0,-0.291016,0,0,0.592198,0,0,0,0.142614,0,0,0,0,0,0,0,0,0.302132,0,0,0,0,-0.328238,0,0,0.959546,0,0,0,0.272901,0,0,0,0,0,0,0,0,0.327977,0,0,0,0,0.235914,0,0,0.949006,0,Conv
NHP34,0,0,-0.0933319,0,0,0,0,0,0,0,0,-0.545379,0,0,0,0,-0.146346,0,0,-3.01272,0,0,0,-0.0244423,0,0,0,0,0,0,0,0,-0.599671,0,0,0,0,-0.138016,0,0,-3.15097,0,0,0,0.0316284,0,0,0,0,0,0,0,0,-0.486179,0,0,0,0,-0.194465,0,0,-3.29298,0,0,0,0.240473,0,0,0,0,0,0,0,0,0.356404,0,0,0,0,0.281357,0,0,0.347861,0,CD40.RBDv - Conv
NHP4,0,0,0.246099,0,0,0,0,0,0,0,0,-0.00562422,0,0,0,0,0.0612191,0,0,0.551182,0,0,0,0.251288,0,0,0,0,0,0,0,0,0.00912903,0,0,0,0,0.0378946,0,0,0.539379,0,0,0,0.221282,0,0,0,0,0,0,0,0,0.010733,0,0,0,0,0.0198674,0,0,0.530531,0,0,0,0.376685,0,0,0,0,0,0,0,0,0.400806,0,0,0,0,0.285922,0,0,1.27834,0,CD40.RBDv - Conv
NHP5,0,0,-0.154808,0,0,0,0,0,0,0,0,-0.019361,0,0,0,0,-0.0771867,0,0,1.65257,0,0,0,-0.249672,0,0,0,0,0,0,0,0,0.04753,0,0,0,0,-0.1575,0,0,1.86553,0,0,0,-0.377483,0,0,0,0,0,0,0,0,0.0124173,0,0,0,0,-0.103327,0,0,2.20863,0,0,0,0.39534,0,0,0,0,0,0,0,0,0.378669,0,0,0,0,0.259407,0,0,0.96272,0,Conv
NHP6,0,0,-0.336419,0,0,0,0,0,0,0,0,-0.571112,0,0,0,0,-0.226864,0,0,-0.0198302,0,0,0,-0.216935,0,0,0,0,0,0,0,0,-0.603025,0,0,0,0,-0.240238,0,0,-0.478113,0,0,0,-0.0477485,0,0,0,0,0,0,0,0,-0.601377,0,0,0,0,-0.226597,0,0,-0.768897,0,0,0,0.262417,0,0,0,0,0,0,0,0,0.339077,0,0,0,0,0.253268,0,0,1.45022,0,Conv
NHP7,0,0,0.0753679,0,0,0,0,0,0,0,0,-0.0673242,0,0,0,0,-0.151493,0,0,0.260475,0,0,0,0.0332145,0,0,0,0,0,0,0,0,-0.0926384,0,0,0,0,-0.136347,0,0,0.363534,0,0,0,0.04064,0,0,0,0,0,0,0,0,-0.103093,0,0,0,0,-0.119487,0,0,0.322762,0,0,0,0.412564,0,0,0,0,0,0,0,0,0.372899,0,0,0,0,0.293389,0,0,1.20946,0,mRNA - Conv
NHP8,0,0,0.0297185,0,0,0,0,0,0,0,0,0.231096,0,0,0,0,0.278928,0,0,0.910748,0,0,0,0.0857052,0,0,0,0,0,0,0,0,0.173824,0,0,0,0,0.328144,0,0,1.11181,0,0,0,0.0866711,0,0,0,0,0,0,0,0,0.249073,0,0,0,0,0.2708,0,0,0.861241,0,0,0,0.433864,0,0,0,0,0,0,0,0,0.37531,0,0,0,0,0.314442,0,0,1.34719,0,mRNA - Conv
NHP9,0,0,-0.23016,0,0,0,0,0,0,0,0,0.364589,0,0,0,0,0.289246,0,0,-1.06103,0,0,0,-0.224471,0,0,0,0,0,0,0,0,0.338915,0,0,0,0,0.291012,0,0,-0.983578,0,0,0,-0.170612,0,0,0,0,0,0,0,0,0.380015,0,0,0,0,0.304056,0,0,-0.999877,0,0,0,0.173164,0,0,0,0,0,0,0,0,0.396525,0,0,0,0,0.252416,0,0,0.521978,0,CD40.RBDv - Naive
