rep,id,betas_N,fact_beta_T,delta_N,fact_delta_T,P_N,fact_P_T,mu,k,c,cI,alpha_VLSG,S0,gamma,rho,Smax,tauS,theta_BAb,alpha_NAb,tauAb,eta,thresh_Weight,Group
9,NHP15,10.0353,0,7.27423,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.478953,1e-05,1.45874,853.153,2.3,23.8929,0.000548382,12,11.9598,4.5,Conv
10,NHP15,10.0353,0,7.04457,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.969333,1e-05,1.45874,853.153,2.3,23.332,0.000548382,12,5.75834,4.5,Conv
1,NHP16,10.0353,0,0.995041,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1345.1,1e-05,1.45874,853.153,2.3,2.19965,0.000548382,12,176.321,4.5,CD40.PanCoV - Conv
2,NHP16,10.0353,0,1.89483,0,15993.2,-0.231585,0.001,3,3,20,1.61821,743.48,1e-05,1.45874,853.153,2.3,2.889,0.000548382,12,99.1645,4.5,CD40.PanCoV - Conv
3,NHP16,10.0353,0,1.7629,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1004.69,1e-05,1.45874,853.153,2.3,2.58143,0.000548382,12,42.4731,4.5,CD40.PanCoV - Conv
4,NHP16,10.0353,0,2.4643,0,15993.2,-0.231585,0.001,3,3,20,1.61821,826.048,1e-05,1.45874,853.153,2.3,1.72602,0.000548382,12,63.0836,4.5,CD40.PanCoV - Conv
5,NHP16,10.0353,0,1.74284,0,15993.2,-0.231585,0.001,3,3,20,1.61821,490.011,1e-05,1.45874,853.153,2.3,3.0276,0.000548382,12,105.018,4.5,CD40.PanCoV - Conv
6,NHP16,10.0353,0,2.21453,0,15993.2,-0.231585,0.001,3,3,20,1.61821,491.191,1e-05,1.45874,853.153,2.3,4.04641,0.000548382,12,90.8638,4.5,CD40.PanCoV - Conv
7,NHP16,10.0353,0,0.720731,0,15993.2,-0.231585,0.001,3,3,20,1.61821,965.756,1e-05,1.45874,853.153,2.3,2.75357,0.000548382,12,626.795,4.5,CD40.PanCoV - Conv
8,NHP16,10.0353,0,2.0411,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2388.23,1e-05,1.45874,853.153,2.3,1.475,0.000548382,12,118.76,4.5,CD40.PanCoV - Conv
9,NHP16,10.0353,0,3.51272,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1464.77,1e-05,1.45874,853.153,2.3,2.9735,0.000548382,12,4.50665,4.5,CD40.PanCoV - Conv
10,NHP16,10.0353,0,1.21057,0,15993.2,-0.231585,0.001,3,3,20,1.61821,849.913,1e-05,1.45874,853.153,2.3,2.6663,0.000548382,12,62.672,4.5,CD40.PanCoV - Conv
1,NHP17,10.0353,0,2.15636,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.410643,1e-05,1.45874,853.153,2.3,6.26149,0.000548382,12,11.7439,4.5,Naive
2,NHP17,10.0353,0,1.59845,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.719192,1e-05,1.45874,853.153,2.3,7.9417,0.000548382,12,3.08041,4.5,Naive
3,NHP17,10.0353,0,2.6007,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.459927,1e-05,1.45874,853.153,2.3,9.11379,0.000548382,12,4.67347,4.5,Naive
4,NHP17,10.0353,0,3.54004,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.688989,1e-05,1.45874,853.153,2.3,6.13759,0.000548382,12,1.69838,4.5,Naive
5,NHP17,10.0353,0,2.36559,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.339166,1e-05,1.45874,853.153,2.3,5.82006,0.000548382,12,11.8598,4.5,Naive
6,NHP17,10.0353,0,3.03594,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.253378,1e-05,1.45874,853.153,2.3,7.9162,0.000548382,12,4.65095,4.5,Naive
7,NHP17,10.0353,0,2.80382,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.495807,1e-05,1.45874,853.153,2.3,7.69774,0.000548382,12,1.65622,4.5,Naive
8,NHP17,10.0353,0,2.4545,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.66917,1e-05,1.45874,853.153,2.3,6.12949,0.000548382,12,6.72265,4.5,Naive
9,NHP17,10.0353,0,3.20578,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.520389,1e-05,1.45874,853.153,2.3,4.80487,0.000548382,12,0.0300262,4.5,Naive
10,NHP17,10.0353,0,1.5471,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.399387,1e-05,1.45874,853.153,2.3,8.53748,0.000548382,12,15.0245,4.5,Naive
1,NHP18,10.0353,0,2.56412,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.06077,1e-05,1.45874,853.153,2.3,58.3373,0.000548382,12,0.547984,4.5,Conv
2,NHP18,10.0353,0,2.69164,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.4875,1e-05,1.45874,853.153,2.3,44.2292,0.000548382,12,0.23331,4.5,Conv
3,NHP18,10.0353,0,2.95037,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.954521,1e-05,1.45874,853.153,2.3,70.7916,0.000548382,12,0.253111,4.5,Conv
4,NHP18,10.0353,0,2.94543,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.28573,1e-05,1.45874,853.153,2.3,58.3746,0.000548382,12,0.245769,4.5,Conv
5,NHP18,10.0353,0,2.45652,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.981566,1e-05,1.45874,853.153,2.3,65.1882,0.000548382,12,0.553086,4.5,Conv
6,NHP18,10.0353,0,3.17609,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.06385,1e-05,1.45874,853.153,2.3,47.2702,0.000548382,12,0.0938551,4.5,Conv
7,NHP18,10.0353,0,2.86399,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.18693,1e-05,1.45874,853.153,2.3,66.3785,0.000548382,12,0.32534,4.5,Conv
8,NHP18,10.0353,0,3.49678,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.00805,1e-05,1.45874,853.153,2.3,56.0101,0.000548382,12,0.23437,4.5,Conv
9,NHP18,10.0353,0,2.67513,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.667982,1e-05,1.45874,853.153,2.3,92.6548,0.000548382,12,0.398818,4.5,Conv
10,NHP18,10.0353,0,2.50771,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.66699,1e-05,1.45874,853.153,2.3,50.4287,0.000548382,12,0.049197,4.5,Conv
1,NHP19,10.0353,0,0.896594,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.88666,1e-05,1.45874,853.153,2.3,2.35379,0.000548382,12,0.496511,4.5,Naive
2,NHP19,10.0353,0,0.92244,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.51962,1e-05,1.45874,853.153,2.3,2.95243,0.000548382,12,1.31283,4.5,Naive
3,NHP19,10.0353,0,0.893789,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.12019,1e-05,1.45874,853.153,2.3,4.56192,0.000548382,12,0.145985,4.5,Naive
4,NHP19,10.0353,0,1.07179,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.6733,1e-05,1.45874,853.153,2.3,4.10419,0.000548382,12,2.62758,4.5,Naive
5,NHP19,10.0353,0,1.06394,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.04122,1e-05,1.45874,853.153,2.3,5.14629,0.000548382,12,0.0588217,4.5,Naive
6,NHP19,10.0353,0,1.15968,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.39225,1e-05,1.45874,853.153,2.3,6.81395,0.000548382,12,6.38923,4.5,Naive
7,NHP19,10.0353,0,0.723154,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.70535,1e-05,1.45874,853.153,2.3,3.53836,0.000548382,12,0.204227,4.5,Naive
8,NHP19,10.0353,0,1.1667,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3.05757,1e-05,1.45874,853.153,2.3,3.5516,0.000548382,12,3.27706,4.5,Naive
9,NHP19,10.0353,0,0.889543,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.6489,1e-05,1.45874,853.153,2.3,2.97363,0.000548382,12,0.626453,4.5,Naive
10,NHP19,10.0353,0,0.862286,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.60483,1e-05,1.45874,853.153,2.3,4.41165,0.000548382,12,0.675826,4.5,Naive
1,NHP2,10.0353,0,1.13022,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.65659,1e-05,1.45874,853.153,2.3,4.03456,0.000548382,12,2.52456,4.5,Naive
2,NHP2,10.0353,0,0.860815,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.891709,1e-05,1.45874,853.153,2.3,4.04166,0.000548382,12,0.470877,4.5,Naive
3,NHP2,10.0353,0,1.33422,0,15993.2,-0.231585,0.001,3,3,20,1.61821,0.878958,1e-05,1.45874,853.153,2.3,3.7396,0.000548382,12,0.796173,4.5,Naive
4,NHP2,10.0353,0,1.16593,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.35385,1e-05,1.45874,853.153,2.3,3.49517,0.000548382,12,1.20229,4.5,Naive
5,NHP2,10.0353,0,0.869771,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.63432,1e-05,1.45874,853.153,2.3,3.75378,0.000548382,12,0.988724,4.5,Naive
6,NHP2,10.0353,0,1.1409,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.16328,1e-05,1.45874,853.153,2.3,3.15669,0.000548382,12,1.45179,4.5,Naive
7,NHP2,10.0353,0,1.19512,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.38716,1e-05,1.45874,853.153,2.3,3.74527,0.000548382,12,0.348814,4.5,Naive
8,NHP2,10.0353,0,1.38372,0,15993.2,-0.231585,0.001,3,3,20,1.61821,3.58696,1e-05,1.45874,853.153,2.3,2.80095,0.000548382,12,1.38849,4.5,Naive
9,NHP2,10.0353,0,1.03704,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1.05733,1e-05,1.45874,853.153,2.3,3.16269,0.000548382,12,4.06258,4.5,Naive
10,NHP2,10.0353,0,1.21566,0,15993.2,-0.231585,0.001,3,3,20,1.61821,2.0165,1e-05,1.45874,853.153,2.3,2.76681,0.000548382,12,0.684112,4.5,Naive
1,NHP20,10.0353,0,1.57512,0,15993.2,-0.231585,0.001,3,3,20,1.61821,391.702,1e-05,1.45874,853.153,2.3,4.60496,0.000548382,12,8.26154,4.5,CD40.RBDv - Conv
2,NHP20,10.0353,0,1.40005,0,15993.2,-0.231585,0.001,3,3,20,1.61821,641.34,1e-05,1.45874,853.153,2.3,5.08336,0.000548382,12,7.68497,4.5,CD40.RBDv - Conv
3,NHP20,10.0353,0,1.27628,0,15993.2,-0.231585,0.001,3,3,20,1.61821,894.002,1e-05,1.45874,853.153,2.3,4.7422,0.000548382,12,2.32179,4.5,CD40.RBDv - Conv
4,NHP20,10.0353,0,2.27629,0,15993.2,-0.231585,0.001,3,3,20,1.61821,554.539,1e-05,1.45874,853.153,2.3,4.83936,0.000548382,12,1.59308,4.5,CD40.RBDv - Conv
5,NHP20,10.0353,0,1.40713,0,15993.2,-0.231585,0.001,3,3,20,1.61821,886.911,1e-05,1.45874,853.153,2.3,3.46414,0.000548382,12,1.36949,4.5,CD40.RBDv - Conv
6,NHP20,10.0353,0,1.41444,0,15993.2,-0.231585,0.001,3,3,20,1.61821,498.557,1e-05,1.45874,853.153,2.3,4.30699,0.000548382,12,3.73559,4.5,CD40.RBDv - Conv
7,NHP20,10.0353,0,1.18252,0,15993.2,-0.231585,0.001,3,3,20,1.61821,855.844,1e-05,1.45874,853.153,2.3,3.10575,0.000548382,12,5.10846,4.5,CD40.RBDv - Conv
8,NHP20,10.0353,0,1.30723,0,15993.2,-0.231585,0.001,3,3,20,1.61821,907.99,1e-05,1.45874,853.153,2.3,3.48135,0.000548382,12,2.39899,4.5,CD40.RBDv - Conv
9,NHP20,10.0353,0,1.59115,0,15993.2,-0.231585,0.001,3,3,20,1.61821,796.218,1e-05,1.45874,853.153,2.3,2.31659,0.000548382,12,1.71309,4.5,CD40.RBDv - Conv
10,NHP20,10.0353,0,1.35265,0,15993.2,-0.231585,0.001,3,3,20,1.61821,888.859,1e-05,1.45874,853.153,2.3,2.93571,0.000548382,12,3.93843,4.5,CD40.RBDv - Conv
1,NHP21,10.0353,0,2.44716,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1654.2,1e-05,1.45874,853.153,2.3,4.38287,0.000548382,12,14.9949,4.5,CD40.RBDv - Conv
2,NHP21,10.0353,0,1.34903,0,15993.2,-0.231585,0.001,3,3,20,1.61821,698.405,1e-05,1.45874,853.153,2.3,9.30734,0.000548382,12,83.4784,4.5,CD40.RBDv - Conv
3,NHP21,10.0353,0,1.72601,0,15993.2,-0.231585,0.001,3,3,20,1.61821,803.521,1e-05,1.45874,853.153,2.3,5.91471,0.000548382,12,46.5487,4.5,CD40.RBDv - Conv
4,NHP21,10.0353,0,2.00695,0,15993.2,-0.231585,0.001,3,3,20,1.61821,675.904,1e-05,1.45874,853.153,2.3,5.69664,0.000548382,12,12.6854,4.5,CD40.RBDv - Conv
5,NHP21,10.0353,0,1.69767,0,15993.2,-0.231585,0.001,3,3,20,1.61821,736.47,1e-05,1.45874,853.153,2.3,6.4606,0.000548382,12,6.14969,4.5,CD40.RBDv - Conv
6,NHP21,10.0353,0,1.46518,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1528.04,1e-05,1.45874,853.153,2.3,5.16273,0.000548382,12,34.8168,4.5,CD40.RBDv - Conv
7,NHP21,10.0353,0,2.06962,0,15993.2,-0.231585,0.001,3,3,20,1.61821,1203.65,1e-05,1.45874,853.153,2.3,6.87091,0.000548382,12,3.29388,4.5,CD40.RBDv - Conv
