rep,id,eta_betas_N,eta_fact_beta_T,eta_delta_N,eta_fact_delta_T,eta_P_N,eta_fact_P_T,eta_mu,eta_k,eta_c,eta_cI,eta_alpha_VLSG,eta_S0,eta_gamma,eta_rho,eta_Smax,eta_tauS,eta_theta_BAb,eta_alpha_NAb,eta_tauAb,eta_eta,eta_thresh_Weight,Group
4,NHP11,0,0,-0.0916455,0,0,0,0,0,0,0,0,0.298403,0,0,0,0,-0.10121,0,0,1.97617,0,CD40.RBDv - Conv
5,NHP11,0,0,0.330198,0,0,0,0,0,0,0,0,0.0204676,0,0,0,0,-0.418289,0,0,2.22705,0,CD40.RBDv - Conv
6,NHP11,0,0,-0.0756999,0,0,0,0,0,0,0,0,-0.383803,0,0,0,0,0.146717,0,0,2.93331,0,CD40.RBDv - Conv
7,NHP11,0,0,0.588238,0,0,0,0,0,0,0,0,-0.33606,0,0,0,0,0.0288162,0,0,3.13958,0,CD40.RBDv - Conv
8,NHP11,0,0,0.286678,0,0,0,0,0,0,0,0,0.609825,0,0,0,0,-0.384136,0,0,2.47522,0,CD40.RBDv - Conv
9,NHP11,0,0,0.352713,0,0,0,0,0,0,0,0,-0.00714246,0,0,0,0,0.105846,0,0,1.67053,0,CD40.RBDv - Conv
10,NHP11,0,0,0.145957,0,0,0,0,0,0,0,0,0.00948895,0,0,0,0,-0.0780809,0,0,1.3481,0,CD40.RBDv - Conv
1,NHP12,0,0,0.220212,0,0,0,0,0,0,0,0,0.0803604,0,0,0,0,-0.891087,0,0,1.95265,0,mRNA - Conv
2,NHP12,0,0,0.107017,0,0,0,0,0,0,0,0,0.191688,0,0,0,0,-0.707545,0,0,0.164226,0,mRNA - Conv
3,NHP12,0,0,-0.0496243,0,0,0,0,0,0,0,0,-0.498877,0,0,0,0,-0.470301,0,0,0.293514,0,mRNA - Conv
4,NHP12,0,0,-0.224373,0,0,0,0,0,0,0,0,0.109042,0,0,0,0,-1.03911,0,0,3.75169,0,mRNA - Conv
5,NHP12,0,0,-0.0294094,0,0,0,0,0,0,0,0,-0.153048,0,0,0,0,-1.15709,0,0,0.606365,0,mRNA - Conv
6,NHP12,0,0,-0.165584,0,0,0,0,0,0,0,0,-0.278416,0,0,0,0,-0.383847,0,0,1.97771,0,mRNA - Conv
7,NHP12,0,0,0.379623,0,0,0,0,0,0,0,0,0.0627357,0,0,0,0,-0.312924,0,0,0.918566,0,mRNA - Conv
8,NHP12,0,0,0.157596,0,0,0,0,0,0,0,0,-0.33702,0,0,0,0,-0.366681,0,0,1.99785,0,mRNA - Conv
9,NHP12,0,0,0.265309,0,0,0,0,0,0,0,0,-0.477557,0,0,0,0,-0.505095,0,0,0.792069,0,mRNA - Conv
10,NHP12,0,0,0.493511,0,0,0,0,0,0,0,0,-0.554393,0,0,0,0,-0.250096,0,0,3.51176,0,mRNA - Conv
1,NHP13,0,0,-0.109019,0,0,0,0,0,0,0,0,-0.0556074,0,0,0,0,0.331492,0,0,-0.0294545,0,Naive
2,NHP13,0,0,-0.385503,0,0,0,0,0,0,0,0,-0.92209,0,0,0,0,0.772114,0,0,-0.493752,0,Naive
3,NHP13,0,0,-0.465638,0,0,0,0,0,0,0,0,-0.742627,0,0,0,0,0.434924,0,0,-0.117611,0,Naive
4,NHP13,0,0,-0.474143,0,0,0,0,0,0,0,0,-0.396614,0,0,0,0,0.617366,0,0,0.0712564,0,Naive
5,NHP13,0,0,-0.177223,0,0,0,0,0,0,0,0,0.110815,0,0,0,0,0.220708,0,0,0.815292,0,Naive
6,NHP13,0,0,-0.339572,0,0,0,0,0,0,0,0,0.0900267,0,0,0,0,0.426494,0,0,-1.00623,0,Naive
7,NHP13,0,0,-0.40454,0,0,0,0,0,0,0,0,0.356913,0,0,0,0,0.067547,0,0,-2.19137,0,Naive
8,NHP13,0,0,-0.400965,0,0,0,0,0,0,0,0,-0.450293,0,0,0,0,0.821552,0,0,-0.942228,0,Naive
9,NHP13,0,0,-0.137259,0,0,0,0,0,0,0,0,-0.503199,0,0,0,0,0.887621,0,0,1.7458,0,Naive
10,NHP13,0,0,-0.211217,0,0,0,0,0,0,0,0,-0.170307,0,0,0,0,0.994626,0,0,0.514782,0,Naive
1,NHP14,0,0,0.554648,0,0,0,0,0,0,0,0,0.304466,0,0,0,0,0.557869,0,0,0.188344,0,CD40.PanCoV - Conv
2,NHP14,0,0,-0.23533,0,0,0,0,0,0,0,0,1.4474,0,0,0,0,0.23147,0,0,1.79064,0,CD40.PanCoV - Conv
3,NHP14,0,0,0.626007,0,0,0,0,0,0,0,0,0.650919,0,0,0,0,0.138198,0,0,2.02347,0,CD40.PanCoV - Conv
4,NHP14,0,0,0.551599,0,0,0,0,0,0,0,0,0.296402,0,0,0,0,0.802091,0,0,0.67809,0,CD40.PanCoV - Conv
5,NHP14,0,0,0.311051,0,0,0,0,0,0,0,0,0.331848,0,0,0,0,0.691953,0,0,-0.900327,0,CD40.PanCoV - Conv
6,NHP14,0,0,0.0758571,0,0,0,0,0,0,0,0,0.514843,0,0,0,0,0.0918625,0,0,2.67569,0,CD40.PanCoV - Conv
7,NHP14,0,0,0.267386,0,0,0,0,0,0,0,0,0.690036,0,0,0,0,0.458929,0,0,0.97569,0,CD40.PanCoV - Conv
8,NHP14,0,0,-0.220871,0,0,0,0,0,0,0,0,0.958642,0,0,0,0,-0.0392087,0,0,1.36649,0,CD40.PanCoV - Conv
9,NHP14,0,0,0.825057,0,0,0,0,0,0,0,0,0.246051,0,0,0,0,0.262308,0,0,2.38165,0,CD40.PanCoV - Conv
10,NHP14,0,0,0.168809,0,0,0,0,0,0,0,0,0.576634,0,0,0,0,0.307772,0,0,0.206331,0,CD40.PanCoV - Conv
1,NHP15,0,0,0.344688,0,0,0,0,0,0,0,0,-0.454079,0,0,0,0,-0.0599501,0,0,2.4237,0,Conv
2,NHP15,0,0,0.478233,0,0,0,0,0,0,0,0,0.564391,0,0,0,0,-0.66253,0,0,1.72524,0,Conv
3,NHP15,0,0,0.470269,0,0,0,0,0,0,0,0,0.731095,0,0,0,0,-0.516393,0,0,1.08787,0,Conv
4,NHP15,0,0,0.454986,0,0,0,0,0,0,0,0,0.435574,0,0,0,0,-0.319024,0,0,1.73633,0,Conv
5,NHP15,0,0,0.919498,0,0,0,0,0,0,0,0,0.474067,0,0,0,0,-0.506381,0,0,0.175685,0,Conv
6,NHP15,0,0,0.125853,0,0,0,0,0,0,0,0,0.00961497,0,0,0,0,-0.363827,0,0,2.61044,0,Conv
7,NHP15,0,0,0.515293,0,0,0,0,0,0,0,0,-0.0188813,0,0,0,0,-0.576328,0,0,2.37353,0,Conv
8,NHP15,0,0,0.866266,0,0,0,0,0,0,0,0,0.367743,0,0,0,0,-0.603335,0,0,-0.481561,0,Conv
9,NHP15,0,0,0.563353,0,0,0,0,0,0,0,0,-0.736152,0,0,0,0,-0.222103,0,0,2.69295,0,Conv
10,NHP15,0,0,0.531272,0,0,0,0,0,0,0,0,-0.031147,0,0,0,0,-0.245859,0,0,1.96205,0,Conv
1,NHP16,0,0,-0.445408,0,0,0,0,0,0,0,0,0.0182489,0,0,0,0,-0.727436,0,0,0.463801,0,CD40.PanCoV - Conv
2,NHP16,0,0,0.198693,0,0,0,0,0,0,0,0,-0.574636,0,0,0,0,-0.454824,0,0,-0.111723,0,CD40.PanCoV - Conv
3,NHP16,0,0,0.126526,0,0,0,0,0,0,0,0,-0.273548,0,0,0,0,-0.56739,0,0,-0.959631,0,CD40.PanCoV - Conv
4,NHP16,0,0,0.461472,0,0,0,0,0,0,0,0,-0.469325,0,0,0,0,-0.969918,0,0,-0.564043,0,CD40.PanCoV - Conv
5,NHP16,0,0,0.115081,0,0,0,0,0,0,0,0,-0.99155,0,0,0,0,-0.407965,0,0,-0.054373,0,CD40.PanCoV - Conv
6,NHP16,0,0,0.354603,0,0,0,0,0,0,0,0,-0.989146,0,0,0,0,-0.117905,0,0,-0.199142,0,CD40.PanCoV - Conv
7,NHP16,0,0,-0.767926,0,0,0,0,0,0,0,0,-0.313067,0,0,0,0,-0.502839,0,0,1.73212,0,CD40.PanCoV - Conv
8,NHP16,0,0,0.273054,0,0,0,0,0,0,0,0,0.592331,0,0,0,0,-1.12708,0,0,0.0686023,0,CD40.PanCoV - Conv
9,NHP16,0,0,0.815954,0,0,0,0,0,0,0,0,0.103478,0,0,0,0,-0.425996,0,0,-3.20295,0,CD40.PanCoV - Conv
10,NHP16,0,0,-0.249342,0,0,0,0,0,0,0,0,-0.440843,0,0,0,0,-0.535044,0,0,-0.570588,0,CD40.PanCoV - Conv
1,NHP17,0,0,0.327983,0,0,0,0,0,0,0,0,-0.890031,0,0,0,0,0.318684,0,0,2.67473,0,Naive
2,NHP17,0,0,0.028599,0,0,0,0,0,0,0,0,-0.329626,0,0,0,0,0.556392,0,0,1.33646,0,Naive
3,NHP17,0,0,0.515343,0,0,0,0,0,0,0,0,-0.776687,0,0,0,0,0.694053,0,0,1.7533,0,Naive
4,NHP17,0,0,0.8237,0,0,0,0,0,0,0,0,-0.37253,0,0,0,0,0.298697,0,0,0.741074,0,Naive
5,NHP17,0,0,0.420592,0,0,0,0,0,0,0,0,-1.08126,0,0,0,0,0.245576,0,0,2.68455,0,Naive
6,NHP17,0,0,0.670085,0,0,0,0,0,0,0,0,-1.37287,0,0,0,0,0.553177,0,0,1.74847,0,Naive
7,NHP17,0,0,0.590546,0,0,0,0,0,0,0,0,-0.701568,0,0,0,0,0.525191,0,0,0.715935,0,Naive
8,NHP17,0,0,0.457486,0,0,0,0,0,0,0,0,-0.401717,0,0,0,0,0.297377,0,0,2.11688,0,Naive
9,NHP17,0,0,0.724519,0,0,0,0,0,0,0,0,-0.653178,0,0,0,0,0.0538939,0,0,-3.29429,0,Naive
10,NHP17,0,0,-0.00405543,0,0,0,0,0,0,0,0,-0.917825,0,0,0,0,0.628731,0,0,2.92108,0,Naive
1,NHP18,0,0,-0.479371,0,0,0,0,0,0,0,0,0.0589917,0,0,0,0,0.670556,0,0,-0.390114,0,Conv
2,NHP18,0,0,-0.430835,0,0,0,0,0,0,0,0,0.397098,0,0,0,0,0.393701,0,0,-1.24399,0,Conv
3,NHP18,0,0,-0.339055,0,0,0,0,0,0,0,0,-0.0465459,0,0,0,0,0.864055,0,0,-1.16253,0,Conv
4,NHP18,0,0,-0.340728,0,0,0,0,0,0,0,0,0.251326,0,0,0,0,0.671196,0,0,-1.19197,0,Conv
5,NHP18,0,0,-0.522239,0,0,0,0,0,0,0,0,-0.0186063,0,0,0,0,0.781594,0,0,-0.380845,0,Conv
6,NHP18,0,0,-0.265334,0,0,0,0,0,0,0,0,0.061893,0,0,0,0,0.460195,0,0,-2.15461,0,Conv
7,NHP18,0,0,-0.368767,0,0,0,0,0,0,0,0,0.171373,0,0,0,0,0.799688,0,0,-0.911488,0,Conv
8,NHP18,0,0,-0.169143,0,0,0,0,0,0,0,0,0.00802069,0,0,0,0,0.629846,0,0,-1.23946,0,Conv
9,NHP18,0,0,-0.436985,0,0,0,0,0,0,0,0,-0.403494,0,0,0,0,1.1332,0,0,-0.707854,0,Conv
10,NHP18,0,0,-0.501617,0,0,0,0,0,0,0,0,0.980951,0,0,0,0,0.524875,0,0,-2.80053,0,Conv
1,NHP19,0,0,-0.549589,0,0,0,0,0,0,0,0,0.63481,0,0,0,0,-0.659706,0,0,-0.488753,0,Naive
2,NHP19,0,0,-0.521171,0,0,0,0,0,0,0,0,0.418462,0,0,0,0,-0.433108,0,0,0.483585,0,Naive
3,NHP19,0,0,-0.552722,0,0,0,0,0,0,0,0,0.113494,0,0,0,0,0.00200916,0,0,-1.71286,0,Naive
4,NHP19,0,0,-0.371109,0,0,0,0,0,0,0,0,0.983315,0,0,0,0,-0.103726,0,0,1.17746,0,Naive
5,NHP19,0,0,-0.37846,0,0,0,0,0,0,0,0,0.713549,0,0,0,0,0.122541,0,0,-2.62185,0,Naive
6,NHP19,0,0,-0.292292,0,0,0,0,0,0,0,0,0.330924,0,0,0,0,0.403237,0,0,2.06601,0,Naive
7,NHP19,0,0,-0.76457,0,0,0,0,0,0,0,0,0.533772,0,0,0,0,-0.252073,0,0,-1.37713,0,Naive
8,NHP19,0,0,-0.286259,0,0,0,0,0,0,0,0,1.11762,0,0,0,0,-0.248337,0,0,1.39834,0,Naive
9,NHP19,0,0,-0.557484,0,0,0,0,0,0,0,0,0.50011,0,0,0,0,-0.425953,0,0,-0.256285,0,Naive
10,NHP19,0,0,-0.588606,0,0,0,0,0,0,0,0,0.957369,0,0,0,0,-0.0314856,0,0,-0.180424,0,Naive
1,NHP2,0,0,-0.318027,0,0,0,0,0,0,0,0,0.504763,0,0,0,0,-0.120839,0,0,1.13746,0,Naive
2,NHP2,0,0,-0.590312,0,0,0,0,0,0,0,0,-0.114615,0,0,0,0,-0.119078,0,0,-0.541762,0,Naive
3,NHP2,0,0,-0.152088,0,0,0,0,0,0,0,0,-0.129018,0,0,0,0,-0.196756,0,0,-0.0165423,0,Naive
4,NHP2,0,0,-0.286916,0,0,0,0,0,0,0,0,0.302951,0,0,0,0,-0.264352,0,0,0.395625,0,Naive
5,NHP2,0,0,-0.579963,0,0,0,0,0,0,0,0,0.968625,0,0,0,0,-0.192973,0,0,0.200056,0,Naive
6,NHP2,0,0,-0.308618,0,0,0,0,0,0,0,0,0.151245,0,0,0,0,-0.36621,0,0,0.584193,0,Naive
7,NHP2,0,0,-0.262193,0,0,0,0,0,0,0,0,0.327255,0,0,0,0,-0.195242,0,0,-0.84182,0,Naive
8,NHP2,0,0,-0.115663,0,0,0,0,0,0,0,0,1.2773,0,0,0,0,-0.485775,0,0,0.539615,0,Naive
9,NHP2,0,0,-0.404067,0,0,0,0,0,0,0,0,0.0557463,0,0,0,0,-0.364312,0,0,1.61322,0,Naive
10,NHP2,0,0,-0.245147,0,0,0,0,0,0,0,0,0.701365,0,0,0,0,-0.49804,0,0,-0.168237,0,Naive
1,NHP20,0,0,0.0138922,0,0,0,0,0,0,0,0,-0.674926,0,0,0,0,0.0113991,0,0,-0.623117,0,CD40.RBDv - Conv
2,NHP20,0,0,-0.103932,0,0,0,0,0,0,0,0,-0.181869,0,0,0,0,0.110238,0,0,-0.69546,0,CD40.RBDv - Conv
3,NHP20,0,0,-0.196491,0,0,0,0,0,0,0,0,0.15028,0,0,0,0,0.0407666,0,0,-1.89239,0,CD40.RBDv - Conv
4,NHP20,0,0,0.382112,0,0,0,0,0,0,0,0,-0.32729,0,0,0,0,0.0610481,0,0,-2.26906,0,CD40.RBDv - Conv
5,NHP20,0,0,-0.0988866,0,0,0,0,0,0,0,0,0.142317,0,0,0,0,-0.273272,0,0,-2.42029,0,CD40.RBDv - Conv
6,NHP20,0,0,-0.0937029,0,0,0,0,0,0,0,0,-0.43371,0,0,0,0,-0.0554959,0,0,-1.41682,0,CD40.RBDv - Conv
7,NHP20,0,0,-0.272787,0,0,0,0,0,0,0,0,0.106661,0,0,0,0,-0.382481,0,0,-1.10383,0,CD40.RBDv - Conv
8,NHP20,0,0,-0.172528,0,0,0,0,0,0,0,0,0.165805,0,0,0,0,-0.268316,0,0,-1.85968,0,CD40.RBDv - Conv
9,NHP20,0,0,0.0240172,0,0,0,0,0,0,0,0,0.0344453,0,0,0,0,-0.675639,0,0,-2.19643,0,CD40.RBDv - Conv
10,NHP20,0,0,-0.138372,0,0,0,0,0,0,0,0,0.144511,0,0,0,0,-0.438786,0,0,-1.36394,0,CD40.RBDv - Conv
1,NHP21,0,0,0.454489,0,0,0,0,0,0,0,0,0.765648,0,0,0,0,-0.0380315,0,0,-0.0270163,0,CD40.RBDv - Conv
2,NHP21,0,0,-0.141052,0,0,0,0,0,0,0,0,-0.0966288,0,0,0,0,0.715069,0,0,1.68986,0,CD40.RBDv - Conv
3,NHP21,0,0,0.105374,0,0,0,0,0,0,0,0,0.0435754,0,0,0,0,0.261707,0,0,1.10577,0,CD40.RBDv - Conv
4,NHP21,0,0,0.25618,0,0,0,0,0,0,0,0,-0.129376,0,0,0,0,0.224142,0,0,-0.194273,0,CD40.RBDv - Conv
5,NHP21,0,0,0.088817,0,0,0,0,0,0,0,0,-0.0435586,0,0,0,0,0.349988,0,0,-0.918326,0,CD40.RBDv - Conv
6,NHP21,0,0,-0.0584576,0,0,0,0,0,0,0,0,0.686311,0,0,0,0,0.125731,0,0,0.815372,0,CD40.RBDv - Conv
7,NHP21,0,0,0.286928,0,0,0,0,0,0,0,0,0.447683,0,0,0,0,0.411562,0,0,-1.54266,0,CD40.RBDv - Conv
8,NHP21,0,0,0.355158,0,0,0,0,0,0,0,0,-0.0559776,0,0,0,0,0.476955,0,0,0.876607,0,CD40.RBDv - Conv
9,NHP21,0,0,0.532773,0,0,0,0,0,0,0,0,0.871666,0,0,0,0,0.204873,0,0,-0.343297,0,CD40.RBDv - Conv
10,NHP21,0,0,0.0708773,0,0,0,0,0,0,0,0,0.488772,0,0,0,0,0.0512402,0,0,2.29899,0,CD40.RBDv - Conv
1,NHP22,0,0,-0.00263583,0,0,0,0,0,0,0,0,-0.564335,0,0,0,0,0.434488,0,0,3.53883,0,CD40.RBDv - Conv
2,NHP22,0,0,0.87953,0,0,0,0,0,0,0,0,0.570342,0,0,0,0,0.139128,0,0,0.48678,0,CD40.RBDv - Conv
3,NHP22,0,0,0.509494,0,0,0,0,0,0,0,0,-0.483801,0,0,0,0,0.644854,0,0,2.25981,0,CD40.RBDv - Conv
4,NHP22,0,0,-0.581889,0,0,0,0,0,0,0,0,0.35774,0,0,0,0,0.283604,0,0,3.9261,0,CD40.RBDv - Conv
5,NHP22,0,0,-0.021367,0,0,0,0,0,0,0,0,0.139497,0,0,0,0,0.313988,0,0,1.58138,0,CD40.RBDv - Conv
6,NHP22,0,0,0.537356,0,0,0,0,0,0,0,0,0.32265,0,0,0,0,0.397623,0,0,0.567456,0,CD40.RBDv - Conv
7,NHP22,0,0,1.06619,0,0,0,0,0,0,0,0,0.237638,0,0,0,0,0.0669841,0,0,1.24358,0,CD40.RBDv - Conv
8,NHP22,0,0,-0.0824232,0,0,0,0,0,0,0,0,0.0263804,0,0,0,0,0.0993026,0,0,2.34069,0,CD40.RBDv - Conv
9,NHP22,0,0,-0.0528637,0,0,0,0,0,0,0,0,0.458903,0,0,0,0,0.105177,0,0,2.35553,0,CD40.RBDv - Conv
10,NHP22,0,0,0.549597,0,0,0,0,0,0,0,0,0.463987,0,0,0,0,0.0573705,0,0,0.756358,0,CD40.RBDv - Conv
1,NHP23,0,0,-0.110607,0,0,0,0,0,0,0,0,0.623716,0,0,0,0,0.61272,0,0,-3.01443,0,mRNA - Conv
2,NHP23,0,0,-0.484225,0,0,0,0,0,0,0,0,0.629097,0,0,0,0,1.02119,0,0,-2.56889,0,mRNA - Conv
3,NHP23,0,0,0.290395,0,0,0,0,0,0,0,0,0.856383,0,0,0,0,0.159609,0,0,-2.59227,0,mRNA - Conv
4,NHP23,0,0,-0.443866,0,0,0,0,0,0,0,0,0.677816,0,0,0,0,0.630073,0,0,-1.30159,0,mRNA - Conv
5,NHP23,0,0,-0.748575,0,0,0,0,0,0,0,0,0.475382,0,0,0,0,0.774404,0,0,-0.148006,0,mRNA - Conv
6,NHP23,0,0,-0.60449,0,0,0,0,0,0,0,0,0.68042,0,0,0,0,0.172522,0,0,0.351896,0,mRNA - Conv
7,NHP23,0,0,0.0402648,0,0,0,0,0,0,0,0,0.925815,0,0,0,0,-0.0557712,0,0,-1.25412,0,mRNA - Conv
8,NHP23,0,0,-0.743583,0,0,0,0,0,0,0,0,0.340207,0,0,0,0,0.423187,0,0,-0.571361,0,mRNA - Conv
9,NHP23,0,0,-0.64891,0,0,0,0,0,0,0,0,0.834481,0,0,0,0,0.0442807,0,0,-0.956013,0,mRNA - Conv
10,NHP23,0,0,-0.354917,0,0,0,0,0,0,0,0,0.848816,0,0,0,0,0.0854111,0,0,-2.25135,0,mRNA - Conv
1,NHP24,0,0,0.242942,0,0,0,0,0,0,0,0,0.105396,0,0,0,0,0.283014,0,0,0.6664,0,CD40.RBDv - Naive
2,NHP24,0,0,0.47868,0,0,0,0,0,0,0,0,-0.361376,0,0,0,0,0.0377542,0,0,0.773313,0,CD40.RBDv - Naive
3,NHP24,0,0,0.0985768,0,0,0,0,0,0,0,0,-0.705823,0,0,0,0,0.475799,0,0,1.23621,0,CD40.RBDv - Naive
4,NHP24,0,0,-0.260721,0,0,0,0,0,0,0,0,0.364274,0,0,0,0,0.0248142,0,0,1.51681,0,CD40.RBDv - Naive
5,NHP24,0,0,0.477564,0,0,0,0,0,0,0,0,-0.564585,0,0,0,0,0.260471,0,0,0.834666,0,CD40.RBDv - Naive
6,NHP24,0,0,0.587993,0,0,0,0,0,0,0,0,-0.519871,0,0,0,0,0.485349,0,0,0.640436,0,CD40.RBDv - Naive
7,NHP24,0,0,0.340959,0,0,0,0,0,0,0,0,-0.199812,0,0,0,0,0.630596,0,0,0.321675,0,CD40.RBDv - Naive
8,NHP24,0,0,0.717451,0,0,0,0,0,0,0,0,-0.329723,0,0,0,0,0.357876,0,0,0.168869,0,CD40.RBDv - Naive
9,NHP24,0,0,0.0477226,0,0,0,0,0,0,0,0,-0.470127,0,0,0,0,0.520801,0,0,1.04129,0,CD40.RBDv - Naive
10,NHP24,0,0,0.619727,0,0,0,0,0,0,0,0,-0.263754,0,0,0,0,0.162656,0,0,0.317394,0,CD40.RBDv - Naive
1,NHP25,0,0,-0.0297379,0,0,0,0,0,0,0,0,-0.185842,0,0,0,0,-0.253607,0,0,-1.21713,0,CD40.RBDv - Naive
2,NHP25,0,0,-0.368932,0,0,0,0,0,0,0,0,-0.200631,0,0,0,0,0.215929,0,0,-1.638,0,CD40.RBDv - Naive
3,NHP25,0,0,-0.105519,0,0,0,0,0,0,0,0,0.0036423,0,0,0,0,-0.179,0,0,-3.54497,0,CD40.RBDv - Naive
4,NHP25,0,0,0.0295663,0,0,0,0,0,0,0,0,0.00601624,0,0,0,0,-0.267775,0,0,-3.33394,0,CD40.RBDv - Naive
5,NHP25,0,0,0.0217242,0,0,0,0,0,0,0,0,0.337631,0,0,0,0,0.0606279,0,0,-3.09625,0,CD40.RBDv - Naive
6,NHP25,0,0,-0.374443,0,0,0,0,0,0,0,0,-0.320445,0,0,0,0,0.0825164,0,0,-2.79506,0,CD40.RBDv - Naive
7,NHP25,0,0,-0.20023,0,0,0,0,0,0,0,0,-0.597087,0,0,0,0,0.145111,0,0,-3.12425,0,CD40.RBDv - Naive
8,NHP25,0,0,-0.125202,0,0,0,0,0,0,0,0,0.363424,0,0,0,0,-0.585614,0,0,-4.17589,0,CD40.RBDv - Naive
9,NHP25,0,0,-0.00279771,0,0,0,0,0,0,0,0,-0.236567,0,0,0,0,-0.419954,0,0,-0.909326,0,CD40.RBDv - Naive
10,NHP25,0,0,-0.152164,0,0,0,0,0,0,0,0,0.0935695,0,0,0,0,-0.363818,0,0,-1.68788,0,CD40.RBDv - Naive
1,NHP26,0,0,0.132004,0,0,0,0,0,0,0,0,0.0319199,0,0,0,0,0.131721,0,0,1.02892,0,Conv
2,NHP26,0,0,0.285095,0,0,0,0,0,0,0,0,-0.800271,0,0,0,0,0.872207,0,0,-0.13469,0,Conv
3,NHP26,0,0,0.31827,0,0,0,0,0,0,0,0,0.191764,0,0,0,0,-0.177422,0,0,0.521623,0,Conv
4,NHP26,0,0,0.45389,0,0,0,0,0,0,0,0,-0.505994,0,0,0,0,0.419234,0,0,0.241566,0,Conv
5,NHP26,0,0,0.318753,0,0,0,0,0,0,0,0,-0.0934846,0,0,0,0,0.642562,0,0,0.403921,0,Conv
6,NHP26,0,0,0.573273,0,0,0,0,0,0,0,0,0.528648,0,0,0,0,0.159793,0,0,-0.667212,0,Conv
7,NHP26,0,0,0.48677,0,0,0,0,0,0,0,0,0.0305754,0,0,0,0,0.602098,0,0,-1.73022,0,Conv
